,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total
Marteau Dévastateur,Destroyer Hammer,15,16,0.94,94%,12.8,12.0,192,3,4.27,4.0
Perce-Écailles,Scale Tearer,13,16,0.81,81%,13.38,10.88,174,3,4.46,3.63
Esprit de la Faille,Spirit of the Rift,6,16,0.38,38%,20.0,7.5,120,2,10.0,3.75
L'Oeil du Héraut,Eye of the Void,9,16,0.56,56%,11.56,6.5,104,0,Gratuit,Gratuit
Première Ligne,First Line,11,16,0.69,69%,8.0,5.5,88,0,Gratuit,Gratuit
Masque du Baron,Baron' s Mask,4,16,0.25,25%,20.0,5.0,80,2,10.0,2.5
Écailles Magiques,Magic Scales,4,16,0.25,25%,20.0,5.0,80,2,10.0,2.5
Chasse au Gros,Big Worm Hunter,5,16,0.31,31%,13.0,4.06,65,3,4.33,1.35
Folie Meurtrière,Killer Momentum,2,16,0.12,12%,30.0,3.75,60,0,Gratuit,Gratuit
Gardien Sous-terrain,Underworld Guardian,4,16,0.25,25%,15.0,3.75,60,1,15.0,3.75
Sceau Profanateur,Seal of Desecration,3,16,0.19,19%,10.67,2.0,32,2,5.33,1.0
Âme de Dragon Élémentaire,Elemental Dragon Soul,1,16,0.06,6%,25.0,1.56,25,1,25.0,1.56
Poigne d'Or,Golden Force,1,16,0.06,6%,23.0,1.44,23,1,23.0,1.44
Marteau Conquérant,Conquest Hammer,1,16,0.06,6%,18.0,1.12,18,1,18.0,1.12
Protection Royale,Royal Protector,1,16,0.06,6%,17.0,1.06,17,1,17.0,1.06
Frappes Éclair,Light Swords,1,16,0.06,6%,12.0,0.75,12,0,Gratuit,Gratuit
