,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total
Marteau Dévastateur,Destroyer Hammer,11,11,1.0,100%,16.36,16.36,180,3,5.45,5.45
Perce-Écailles,Scale Tearer,11,11,1.0,100%,15.82,15.82,174,3,5.27,5.27
Esprit de la Faille,Spirit of the Rift,6,11,0.55,55%,20.0,10.91,120,2,10.0,5.46
Écailles Magiques,Magic Scales,6,11,0.55,55%,20.0,10.91,120,2,10.0,5.46
L'Oeil du Héraut,Eye of the Void,9,11,0.82,82%,10.67,8.73,96,0,Gratuit,Gratuit
Première Ligne,First Line,10,11,0.91,91%,8.0,7.27,80,0,Gratuit,Gratuit
Poigne d'Or,Golden Force,3,11,0.27,27%,23.0,6.27,69,1,23.0,6.27
Protection Royale,Royal Protector,4,11,0.36,36%,17.0,6.18,68,1,17.0,6.18
Chasse au Gros,Big Worm Hunter,5,11,0.45,45%,13.0,5.91,65,3,4.33,1.97
Marteau Conquérant,Conquest Hammer,3,11,0.27,27%,18.0,4.91,54,1,18.0,4.91
Âme de Dragon Élémentaire,Elemental Dragon Soul,2,11,0.18,18%,25.0,4.55,50,1,25.0,4.55
Frappes Éclair,Light Swords,4,11,0.36,36%,12.0,4.36,48,0,Gratuit,Gratuit
Sceau Profanateur,Seal of Desecration,4,11,0.36,36%,12.0,4.36,48,2,6.0,2.18
Emblème Ancien,Ancient Emblem,1,11,0.09,9%,40.0,3.64,40,3,13.33,1.21
Masque du Baron,Baron' s Mask,2,11,0.18,18%,20.0,3.64,40,2,10.0,1.82
Sceau Draconique Ancestral,Ancestral Dragon Seal,1,11,0.09,9%,35.0,3.18,35,0,Gratuit,Gratuit
Folie Meurtrière,Killer Momentum,1,11,0.09,9%,30.0,2.73,30,0,Gratuit,Gratuit
Gardien Sous-terrain,Underworld Guardian,2,11,0.18,18%,15.0,2.73,30,1,15.0,2.73
