,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total
Écailles Magiques,Magic Scales,12,13,0.92,92%,20.0,18.46,240,2,10.0,9.23
Marteau Dévastateur,Destroyer Hammer,13,13,1.0,100%,17.54,17.54,228,3,5.85,5.85
Perce-Écailles,Scale Tearer,13,13,1.0,100%,16.62,16.62,216,3,5.54,5.54
Âme de Dragon Élémentaire,Elemental Dragon Soul,6,13,0.46,46%,25.0,11.54,150,1,25.0,11.54
Chasse au Gros,Big Worm Hunter,8,13,0.62,62%,17.88,11.0,143,3,5.96,3.67
Masque du Baron,Baron' s Mask,7,13,0.54,54%,20.0,10.77,140,2,10.0,5.38
Sceau Profanateur,Seal of Desecration,6,13,0.46,46%,21.33,9.85,128,2,10.66,4.92
Esprit de la Faille,Spirit of the Rift,6,13,0.46,46%,20.0,9.23,120,2,10.0,4.62
Bouclier Efficient,Engineer Shield,2,13,0.15,15%,60.0,9.23,120,0,Gratuit,Gratuit
Première Ligne,First Line,12,13,0.92,92%,8.0,7.38,96,0,Gratuit,Gratuit
Folie Meurtrière,Killer Momentum,3,13,0.23,23%,30.0,6.92,90,0,Gratuit,Gratuit
Emblème Ancien,Ancient Emblem,2,13,0.15,15%,40.0,6.15,80,3,13.33,2.05
L'Oeil du Héraut,Eye of the Void,8,13,0.62,62%,10.0,6.15,80,0,Gratuit,Gratuit
Marteau Conquérant,Conquest Hammer,4,13,0.31,31%,18.0,5.54,72,1,18.0,5.54
Sceau Draconique Ancestral,Ancestral Dragon Seal,2,13,0.15,15%,35.0,5.38,70,0,Gratuit,Gratuit
Poigne d'Or,Golden Force,3,13,0.23,23%,23.0,5.31,69,1,23.0,5.31
Protection Royale,Royal Protector,4,13,0.31,31%,17.0,5.23,68,1,17.0,5.23
Brise-remparts,Wall Breaker,2,13,0.15,15%,30.0,4.62,60,0,Gratuit,Gratuit
Gardien Sous-terrain,Underworld Guardian,4,13,0.31,31%,15.0,4.62,60,1,15.0,4.62
Frappes Éclair,Light Swords,2,13,0.15,15%,12.0,1.85,24,0,Gratuit,Gratuit
