,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total
Marteau Dévastateur,Destroyer Hammer,22,22,1.0,100%,22.5,22.5,495,3,7.5,7.5
Perce-Écailles,Scale Tearer,19,22,0.86,86%,18.63,16.09,354,3,6.21,5.36
Esprit de la Faille,Spirit of the Rift,15,22,0.68,68%,20.0,13.64,300,2,10.0,6.82
Chasse au Gros,Big Worm Hunter,17,22,0.77,77%,17.59,13.59,299,3,5.86,4.53
Masque du Baron,Baron' s Mask,14,22,0.64,64%,20.0,12.73,280,2,10.0,6.37
Folie Meurtrière,Killer Momentum,9,22,0.41,41%,30.0,12.27,270,0,Gratuit,Gratuit
Poigne d'Or,Golden Force,11,22,0.5,50%,23.0,11.5,253,1,23.0,11.5
Sceau Profanateur,Seal of Desecration,15,22,0.68,68%,16.0,10.91,240,2,8.0,5.46
Protection Royale,Royal Protector,14,22,0.64,64%,17.0,10.82,238,1,17.0,10.82
L'Oeil du Héraut,Eye of the Void,18,22,0.82,82%,12.89,10.55,232,0,Gratuit,Gratuit
Marteau Conquérant,Conquest Hammer,12,22,0.55,55%,18.0,9.82,216,1,18.0,9.82
Gardien Sous-terrain,Underworld Guardian,12,22,0.55,55%,15.0,8.18,180,1,15.0,8.18
Première Ligne,First Line,21,22,0.95,95%,8.0,7.64,168,0,Gratuit,Gratuit
Âme de Dragon Élémentaire,Elemental Dragon Soul,6,22,0.27,27%,25.0,6.82,150,1,25.0,6.82
Brise-remparts,Wall Breaker,5,22,0.23,23%,30.0,6.82,150,0,Gratuit,Gratuit
Frappes Éclair,Light Swords,11,22,0.5,50%,12.0,6.0,132,0,Gratuit,Gratuit
Écailles Magiques,Magic Scales,6,22,0.27,27%,20.0,5.45,120,2,10.0,2.73
Emblème Ancien,Ancient Emblem,2,22,0.09,9%,40.0,3.64,80,3,13.33,1.21
Sceau Draconique Ancestral,Ancestral Dragon Seal,2,22,0.09,9%,35.0,3.18,70,0,Gratuit,Gratuit
Bouclier Efficient,Engineer Shield,1,22,0.05,5%,60.0,2.73,60,0,Gratuit,Gratuit
