,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total
Marteau Dévastateur,Destroyer Hammer,15,15,1.0,100%,24.0,24.0,360,3,8.0,8.0
Folie Meurtrière,Killer Momentum,10,15,0.67,67%,30.0,20.0,300,0,Gratuit,Gratuit
Poigne d'Or,Golden Force,10,15,0.67,67%,23.0,15.33,230,1,23.0,15.33
Masque du Baron,Baron' s Mask,11,15,0.73,73%,20.0,14.67,220,2,10.0,7.33
Perce-Écailles,Scale Tearer,15,15,1.0,100%,14.0,14.0,210,3,4.67,4.67
Protection Royale,Royal Protector,11,15,0.73,73%,17.0,12.47,187,1,17.0,12.47
Marteau Conquérant,Conquest Hammer,10,15,0.67,67%,18.0,12.0,180,1,18.0,12.0
Gardien Sous-terrain,Underworld Guardian,11,15,0.73,73%,15.0,11.0,165,1,15.0,11.0
Chasse au Gros,Big Worm Hunter,11,15,0.73,73%,14.18,10.4,156,3,4.73,3.47
Sceau Profanateur,Seal of Desecration,11,15,0.73,73%,13.82,10.13,152,2,6.91,5.07
L'Oeil du Héraut,Eye of the Void,12,15,0.8,80%,12.0,9.6,144,0,Gratuit,Gratuit
Écailles Magiques,Magic Scales,6,15,0.4,40%,20.0,8.0,120,2,10.0,4.0
Première Ligne,First Line,15,15,1.0,100%,8.0,8.0,120,0,Gratuit,Gratuit
Esprit de la Faille,Spirit of the Rift,6,15,0.4,40%,20.0,8.0,120,2,10.0,4.0
Sceau Draconique Ancestral,Ancestral Dragon Seal,3,15,0.2,20%,35.0,7.0,105,0,Gratuit,Gratuit
Frappes Éclair,Light Swords,8,15,0.53,53%,12.0,6.4,96,0,Gratuit,Gratuit
Brise-remparts,Wall Breaker,2,15,0.13,13%,30.0,4.0,60,0,Gratuit,Gratuit
Horloge Divine,Divine Compass,1,15,0.07,7%,25.0,1.67,25,0,Gratuit,Gratuit
