,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total
Armure d'Obsidienne,Obsidian Battle Plate,11,14,0.79,79%,20.0,15.71,220,2,10.0,7.86
Faux,Scythe,14,14,1.0,100%,14.29,14.29,200,3,4.76,4.76
Lame Affutée,Sharp Blade,14,14,1.0,100%,11.36,11.36,159,3,3.79,3.79
Aveuglement,Incapacitor,14,14,1.0,100%,10.29,10.29,144,3,3.43,3.43
Armure d'Immortel,Immortal Breastplate,10,14,0.71,71%,14.0,10.0,140,1,14.0,10.0
Esquive Salvatrice,Evasive Protection,9,14,0.64,64%,15.0,9.64,135,0,Gratuit,Gratuit
Hache Frénétique,Berseker Ax,9,14,0.64,64%,14.0,9.0,126,2,7.0,4.5
Esprit de l'Écuyer,Spirit of the Squire,13,14,0.93,93%,8.54,7.93,111,3,2.85,2.64
Sabre Versatile,Versatil Saber,10,14,0.71,71%,11.0,7.86,110,1,11.0,7.86
Adrénaline Arcanique,Arcane Adrenaline,6,14,0.43,43%,16.0,6.86,96,1,16.0,6.86
Économe Sagesse du Trésorier,Treasurer's Wisdom,5,14,0.36,36%,17.0,6.07,85,2,8.5,3.04
Assistance Divine,Sacred Help,4,14,0.29,29%,20.0,5.71,80,2,10.0,2.85
Lame Insatiable,Fast Furious Blade,5,14,0.36,36%,16.0,5.71,80,2,8.0,2.85
Aura Légendaire,Legend Aura,2,14,0.14,14%,40.0,5.71,80,3,13.33,1.9
Elan de Fureur,Rampage Momentum,5,14,0.36,36%,15.0,5.36,75,2,7.5,2.68
Explosion Arcanique,Arcane Explosive,6,14,0.43,43%,12.0,5.14,72,1,12.0,5.14
Enchaînement Éclair,Unstoppable Lightning,4,14,0.29,29%,18.0,5.14,72,1,18.0,5.14
Pluie de Météorites,Meteorites,1,14,0.07,7%,70.0,5.0,70,0,Gratuit,Gratuit
Le Marionnettiste,The Puppeteer,3,14,0.21,21%,20.0,4.29,60,2,10.0,2.15
Épée Obscure,Swords of Darkness,4,14,0.29,29%,15.0,4.29,60,1,15.0,4.29
Chasseur d'Âmes,Soul Hunter,4,14,0.29,29%,15.0,4.29,60,1,15.0,4.29
Épées Jumelles,Twin Swords,4,14,0.29,29%,15.0,4.29,60,1,15.0,4.29
Totem du Gardien,Guardian Totem,14,14,1.0,100%,4.0,4.0,56,3,1.33,1.33
Danse Macabre,Dance of Death,7,14,0.5,50%,8.0,4.0,56,1,8.0,4.0
Parchemin Secret,Secret Scroll,3,14,0.21,21%,18.0,3.86,54,2,9.0,1.93
Ascension Divine,Divine Ascent,2,14,0.14,14%,25.0,3.57,50,3,8.33,1.19
Faux Assoiffées,Thirsty Scythes,2,14,0.14,14%,25.0,3.57,50,3,8.33,1.19
Le Croque-mort,The Undertaker,3,14,0.21,21%,14.0,3.0,42,1,14.0,3.0
Glaive Vindicatif,Large Sword of Hate,2,14,0.14,14%,20.0,2.86,40,1,20.0,2.86
Épé Sainte,Holy Sword,4,14,0.29,29%,10.0,2.86,40,0,Gratuit,Gratuit
Coup de Mort,Death Helper,4,14,0.29,29%,10.0,2.86,40,1,10.0,2.86
Désintégrateur Magnétique,Magnetic Disintegrator,3,14,0.21,21%,11.0,2.36,33,0,Gratuit,Gratuit
Destruction Royale,Royal Destroyer,3,14,0.21,21%,11.0,2.36,33,0,Gratuit,Gratuit
Lance Doublée,Dual Spear,4,14,0.29,29%,8.0,2.29,32,0,Gratuit,Gratuit
Instinct Sanguinaire,Bloody Instinct,2,14,0.14,14%,15.0,2.14,30,2,7.5,1.07
Triple Météore,Trimeteor,1,14,0.07,7%,30.0,2.14,30,0,Gratuit,Gratuit
Masse Colossale,Colossal Mace,2,14,0.14,14%,11.0,1.57,22,0,Gratuit,Gratuit
Lance Triplée,Triple Spear,1,14,0.07,7%,20.0,1.43,20,0,Gratuit,Gratuit
Chasseresse d'Âmes,Huntress of Souls,1,14,0.07,7%,19.0,1.36,19,1,19.0,1.36
Marteleur précis,Precise Hammer,1,14,0.07,7%,18.0,1.29,18,1,18.0,1.29
Griffes Démoniaques,Demon Claws,1,14,0.07,7%,17.0,1.21,17,1,17.0,1.21
Frappe Chirurgicale,Accurate Sword,1,14,0.07,7%,16.0,1.14,16,1,16.0,1.14
Œil de Lynx,Hawk's Eye,2,14,0.14,14%,8.0,1.14,16,0,Gratuit,Gratuit
Griffes Sauvages,Wild Claw,10,14,0.71,71%,1.5,1.07,15,3,0.5,0.36
Bâton Élémentaire,Earthly Staff,1,14,0.07,7%,15.0,1.07,15,0,Gratuit,Gratuit
Couronne du Roi Nain,Crown of the Dwarf King,1,14,0.07,7%,13.0,0.93,13,0,Gratuit,Gratuit
Force Divine,Divine Impetu,1,14,0.07,7%,11.0,0.79,11,0,Gratuit,Gratuit
Tombeau Rocheux,Rock Tomb,1,14,0.07,7%,10.0,0.71,10,1,10.0,0.71
