,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total
Le Traqueur,The Stalker,16,17,0.94,94%,18.0,16.94,288,3,6.0,5.65
Totem du Gardien,Guardian Totem,17,17,1.0,100%,15.71,15.71,267,3,5.24,5.24
Aveuglement,Incapacitor,17,17,1.0,100%,13.41,13.41,228,3,4.47,4.47
Le Visionnaire,The Visionary,9,17,0.53,53%,18.0,9.53,162,2,9.0,4.76
Armure d'Obsidienne,Obsidian Battle Plate,8,17,0.47,47%,20.0,9.41,160,2,10.0,4.71
Esprit de l'Écuyer,Spirit of the Squire,15,17,0.88,88%,10.4,9.18,156,3,3.47,3.06
Vision Céleste,Heavenly Vision,6,17,0.35,35%,22.0,7.76,132,2,11.0,3.88
Œil de Lynx,Hawk's Eye,16,17,0.94,94%,8.0,7.53,128,0,Gratuit,Gratuit
Esprit omniprésent,Omnipresent Spirit,5,17,0.29,29%,18.0,5.29,90,2,9.0,2.65
Instinct Sanguinaire,Bloody Instinct,5,17,0.29,29%,15.0,4.41,75,2,7.5,2.21
Bâton de Conquête,Conquering Staff,3,17,0.18,18%,24.0,4.24,72,2,12.0,2.12
Coup de Mort,Death Helper,7,17,0.41,41%,10.0,4.12,70,1,10.0,4.12
Le Marionnettiste,The Puppeteer,3,17,0.18,18%,20.0,3.53,60,2,10.0,1.76
Amulette Omnisciente,Omnipresent Amulet,5,17,0.29,29%,11.0,3.24,55,0,Gratuit,Gratuit
Sabre Versatile,Versatil Saber,5,17,0.29,29%,11.0,3.24,55,1,11.0,3.24
Armure d'Immortel,Immortal Breastplate,3,17,0.18,18%,14.0,2.47,42,1,14.0,2.47
Assistance Divine,Sacred Help,2,17,0.12,12%,20.0,2.35,40,2,10.0,1.18
Lame Affutée,Sharp Blade,7,17,0.41,41%,4.71,1.94,33,3,1.57,0.65
Masse de Siège,Siege Mace,2,17,0.12,12%,16.0,1.88,32,0,Gratuit,Gratuit
Esquive Salvatrice,Evasive Protection,2,17,0.12,12%,15.0,1.76,30,0,Gratuit,Gratuit
Bâton du Conquérant,Staff of Conquered Worlds,2,17,0.12,12%,11.0,1.29,22,0,Gratuit,Gratuit
Force Divine,Divine Impetu,2,17,0.12,12%,11.0,1.29,22,0,Gratuit,Gratuit
Frappe Chirurgicale,Accurate Sword,1,17,0.06,6%,16.0,0.94,16,1,16.0,0.94
Faux,Scythe,13,17,0.76,76%,1.23,0.94,16,3,0.41,0.31
Hache Frénétique,Berseker Ax,1,17,0.06,6%,14.0,0.82,14,2,7.0,0.41
Destruction Royale,Royal Destroyer,1,17,0.06,6%,11.0,0.65,11,0,Gratuit,Gratuit
Désintégrateur Magnétique,Magnetic Disintegrator,1,17,0.06,6%,11.0,0.65,11,0,Gratuit,Gratuit
Griffes Sauvages,Wild Claw,1,17,0.06,6%,2.0,0.12,2,3,0.67,0.04
