,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total
Totem Équivalent,Equivalent Totem,170,170,1.0,100%,16.24,16.24,2760,2,8.12,8.12
Faux,Scythe,170,170,1.0,100%,14.39,14.39,2447,3,4.8,4.8
Lame Affutée,Sharp Blade,151,170,0.89,89%,12.04,10.69,1818,3,4.01,3.56
Hache Frénétique,Berseker Ax,120,170,0.71,71%,14.0,9.88,1680,2,7.0,4.94
Armure d'Obsidienne,Obsidian Battle Plate,82,170,0.48,48%,20.0,9.65,1640,2,10.0,4.83
Gantelet Impérieux,Imperious Gauntlet,47,170,0.28,28%,30.0,8.29,1410,1,30.0,8.29
Économe Sagesse du Trésorier,Treasurer's Wisdom,80,170,0.47,47%,17.0,8.0,1360,2,8.5,4.0
Faux Parfaite,Perfect Scythe,87,170,0.51,51%,15.0,7.68,1305,0,Gratuit,Gratuit
Marteau Collecteur,Collecting Hammer,103,170,0.61,61%,12.42,7.52,1279,2,6.21,3.76
Ascension Divine,Divine Ascent,50,170,0.29,29%,25.0,7.35,1250,3,8.33,2.45
Esprit de l'Écuyer,Spirit of the Squire,140,170,0.82,82%,8.57,7.06,1200,3,2.86,2.35
Adrénaline Arcanique,Arcane Adrenaline,66,170,0.39,39%,16.0,6.21,1056,1,16.0,6.21
Épée Obscure,Swords of Darkness,56,170,0.33,33%,17.0,5.6,952,1,17.0,5.6
Aveuglement,Incapacitor,139,170,0.82,82%,6.19,5.06,861,3,2.06,1.69
Lame Insatiable,Fast Furious Blade,53,170,0.31,31%,16.0,4.99,848,2,8.0,2.5
Explosion Arcanique,Arcane Explosive,63,170,0.37,37%,12.0,4.45,756,1,12.0,4.45
Elan de Fureur,Rampage Momentum,50,170,0.29,29%,15.0,4.41,750,2,7.5,2.21
Faux Assoiffées,Thirsty Scythes,30,170,0.18,18%,25.0,4.41,750,3,8.33,1.47
Sabre Versatile,Versatil Saber,63,170,0.37,37%,11.0,4.08,693,1,11.0,4.08
Danse Macabre,Dance of Death,77,170,0.45,45%,8.0,3.62,616,1,8.0,3.62
Totem du Gardien,Guardian Totem,169,170,0.99,99%,3.53,3.51,596,3,1.18,1.17
Enchaînement Éclair,Unstoppable Lightning,32,170,0.19,19%,18.0,3.39,576,1,18.0,3.39
Assistance Divine,Sacred Help,28,170,0.16,16%,20.0,3.29,560,2,10.0,1.65
Parchemin Secret,Secret Scroll,31,170,0.18,18%,18.0,3.28,558,2,9.0,1.64
Aura Légendaire,Legend Aura,12,170,0.07,7%,40.0,2.82,480,3,13.33,0.94
Coup de Mort,Death Helper,41,170,0.24,24%,11.39,2.75,467,1,11.39,2.75
Chasseur d'Âmes,Soul Hunter,25,170,0.15,15%,18.2,2.68,455,1,18.2,2.68
Armure d'Immortel,Immortal Breastplate,29,170,0.17,17%,15.24,2.6,442,1,15.24,2.6
Marteleur précis,Precise Hammer,23,170,0.14,14%,18.0,2.44,414,1,18.0,2.44
Tombeau Rocheux,Rock Tomb,40,170,0.24,24%,10.0,2.35,400,1,10.0,2.35
Triple Météore,Trimeteor,12,170,0.07,7%,30.0,2.12,360,0,Gratuit,Gratuit
Chasseresse d'Âmes,Huntress of Souls,18,170,0.11,11%,19.0,2.01,342,1,19.0,2.01
Désintégrateur Magnétique,Magnetic Disintegrator,31,170,0.18,18%,11.0,2.01,341,0,Gratuit,Gratuit
Épé Sainte,Holy Sword,33,170,0.19,19%,10.0,1.94,330,0,Gratuit,Gratuit
Esprit omniprésent,Omnipresent Spirit,18,170,0.11,11%,18.0,1.91,324,2,9.0,0.95
Griffes Démoniaques,Demon Claws,18,170,0.11,11%,17.0,1.8,306,1,17.0,1.8
Masse Colossale,Colossal Mace,23,170,0.14,14%,13.09,1.77,301,0,Gratuit,Gratuit
Force Divine,Divine Impetu,20,170,0.12,12%,12.8,1.51,256,0,Gratuit,Gratuit
Couronne du Roi Nain,Crown of the Dwarf King,17,170,0.1,10%,13.0,1.3,221,0,Gratuit,Gratuit
Le Marionnettiste,The Puppeteer,11,170,0.06,6%,20.0,1.29,220,2,10.0,0.65
Œil de Lynx,Hawk's Eye,23,170,0.14,14%,8.87,1.2,204,0,Gratuit,Gratuit
Pillard Féroce,Savage Looter,10,170,0.06,6%,20.0,1.18,200,1,20.0,1.18
Mental d'Acier,Steel Aura,11,170,0.06,6%,18.0,1.16,198,2,9.0,0.58
Soif de Sang,Thirsty Dagger,13,170,0.08,8%,15.0,1.15,195,0,Gratuit,Gratuit
Griffes Sauvages,Wild Claw,92,170,0.54,54%,1.98,1.07,182,3,0.66,0.36
Être de Lumière,Being of Light,9,170,0.05,5%,18.0,0.95,162,1,18.0,0.95
Esprit Guerrier,Spirit of the Warrior,8,170,0.05,5%,16.0,0.75,128,1,16.0,0.75
Bâton de Conquête,Conquering Staff,5,170,0.03,3%,24.0,0.71,120,2,12.0,0.35
Astéroïde Fatal,Final Asteroid,1,170,0.01,1%,100.0,0.59,100,0,Gratuit,Gratuit
Masse de Siège,Siege Mace,5,170,0.03,3%,16.0,0.47,80,0,Gratuit,Gratuit
Amulette Omnisciente,Omnipresent Amulet,6,170,0.04,4%,13.0,0.46,78,0,Gratuit,Gratuit
Pluie de Météorites,Meteorites,1,170,0.01,1%,70.0,0.41,70,0,Gratuit,Gratuit
Bâton du Conquérant,Staff of Conquered Worlds,2,170,0.01,1%,11.0,0.13,22,0,Gratuit,Gratuit
