,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total
Mental d'Acier,Steel Aura,2,2,1.0,100%,18.0,18.0,36,2,9.0,9.0
Faux,Scythe,2,2,1.0,100%,14.0,14.0,28,3,4.67,4.67
Aveuglement,Incapacitor,2,2,1.0,100%,10.5,10.5,21,3,3.5,3.5
Assistance Divine,Sacred Help,1,2,0.5,50%,20.0,10.0,20,2,10.0,5.0
Esprit de l'Écuyer,Spirit of the Squire,2,2,1.0,100%,9.0,9.0,18,3,3.0,3.0
Économe Sagesse du Trésorier,Treasurer's Wisdom,1,2,0.5,50%,17.0,8.5,17,2,8.5,4.25
Lame Affutée,Sharp Blade,2,2,1.0,100%,7.5,7.5,15,3,2.5,2.5
Totem du Gardien,Guardian Totem,2,2,1.0,100%,5.5,5.5,11,3,1.83,1.83
Tombeau Rocheux,Rock Tomb,1,2,0.5,50%,10.0,5.0,10,1,10.0,5.0
Coup de Mort,Death Helper,1,2,0.5,50%,10.0,5.0,10,1,10.0,5.0
Griffes Sauvages,Wild Claw,2,2,1.0,100%,2.5,2.5,5,3,0.83,0.83
