,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total
Marteau Dévastateur,Destroyer Hammer,17,18,0.94,94%,21.88,20.67,372,3,7.29,6.89
Esprit de la Faille,Spirit of the Rift,13,18,0.72,72%,20.0,14.44,260,2,10.0,7.22
Perce-Écailles,Scale Tearer,17,18,0.94,94%,12.35,11.67,210,3,4.12,3.89
L'Oeil du Héraut,Eye of the Void,14,18,0.78,78%,13.14,10.22,184,0,Gratuit,Gratuit
Masque du Baron,Baron' s Mask,9,18,0.5,50%,20.0,10.0,180,2,10.0,5.0
Marteau Conquérant,Conquest Hammer,9,18,0.5,50%,18.0,9.0,162,1,18.0,9.0
Poigne d'Or,Golden Force,7,18,0.39,39%,23.0,8.94,161,1,23.0,8.94
Protection Royale,Royal Protector,9,18,0.5,50%,17.0,8.5,153,1,17.0,8.5
Chasse au Gros,Big Worm Hunter,10,18,0.56,56%,14.3,7.94,143,3,4.77,2.65
Sceau Profanateur,Seal of Desecration,9,18,0.5,50%,15.11,7.56,136,2,7.55,3.78
Gardien Sous-terrain,Underworld Guardian,9,18,0.5,50%,15.0,7.5,135,1,15.0,7.5
Première Ligne,First Line,16,18,0.89,89%,8.0,7.11,128,0,Gratuit,Gratuit
Brise-remparts,Wall Breaker,4,18,0.22,22%,30.0,6.67,120,0,Gratuit,Gratuit
Écailles Magiques,Magic Scales,6,18,0.33,33%,20.0,6.67,120,2,10.0,3.33
Frappes Éclair,Light Swords,8,18,0.44,44%,12.0,5.33,96,0,Gratuit,Gratuit
Folie Meurtrière,Killer Momentum,3,18,0.17,17%,30.0,5.0,90,0,Gratuit,Gratuit
Âme de Dragon Élémentaire,Elemental Dragon Soul,3,18,0.17,17%,25.0,4.17,75,1,25.0,4.17
Emblème Ancien,Ancient Emblem,1,18,0.06,6%,40.0,2.22,40,3,13.33,0.74
Sceau Draconique Ancestral,Ancestral Dragon Seal,1,18,0.06,6%,35.0,1.94,35,0,Gratuit,Gratuit
Horloge Divine,Divine Compass,1,18,0.06,6%,25.0,1.39,25,0,Gratuit,Gratuit
