,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total
Marteau Dévastateur,Destroyer Hammer,18,18,1.0,100%,16.83,16.83,303,3,5.61,5.61
Perce-Écailles,Scale Tearer,17,18,0.94,94%,14.47,13.67,246,3,4.82,4.56
Écailles Magiques,Magic Scales,11,18,0.61,61%,20.0,12.22,220,2,10.0,6.11
Esprit de la Faille,Spirit of the Rift,10,18,0.56,56%,20.0,11.11,200,2,10.0,5.55
Chasse au Gros,Big Worm Hunter,10,18,0.56,56%,18.2,10.11,182,3,6.07,3.37
Masque du Baron,Baron' s Mask,7,18,0.39,39%,20.0,7.78,140,2,10.0,3.89
L'Oeil du Héraut,Eye of the Void,13,18,0.72,72%,9.85,7.11,128,0,Gratuit,Gratuit
Première Ligne,First Line,15,18,0.83,83%,8.0,6.67,120,0,Gratuit,Gratuit
Poigne d'Or,Golden Force,5,18,0.28,28%,23.0,6.39,115,1,23.0,6.39
Sceau Profanateur,Seal of Desecration,8,18,0.44,44%,14.0,6.22,112,2,7.0,3.11
Protection Royale,Royal Protector,6,18,0.33,33%,17.0,5.67,102,1,17.0,5.67
Folie Meurtrière,Killer Momentum,3,18,0.17,17%,30.0,5.0,90,0,Gratuit,Gratuit
Gardien Sous-terrain,Underworld Guardian,6,18,0.33,33%,15.0,5.0,90,1,15.0,5.0
Âme de Dragon Élémentaire,Elemental Dragon Soul,3,18,0.17,17%,25.0,4.17,75,1,25.0,4.17
Marteau Conquérant,Conquest Hammer,4,18,0.22,22%,18.0,4.0,72,1,18.0,4.0
Frappes Éclair,Light Swords,5,18,0.28,28%,12.0,3.33,60,0,Gratuit,Gratuit
Emblème Ancien,Ancient Emblem,1,18,0.06,6%,40.0,2.22,40,3,13.33,0.74
Sceau Draconique Ancestral,Ancestral Dragon Seal,1,18,0.06,6%,35.0,1.94,35,0,Gratuit,Gratuit
Brise-remparts,Wall Breaker,1,18,0.06,6%,30.0,1.67,30,0,Gratuit,Gratuit
