,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total
Écailles Magiques,Magic Scales,12,17,0.71,71%,20.0,14.12,240,2,10.0,7.06
Perce-Écailles,Scale Tearer,15,17,0.88,88%,14.4,12.71,216,3,4.8,4.24
Marteau Dévastateur,Destroyer Hammer,15,17,0.88,88%,11.2,9.88,168,3,3.73,3.29
Esprit de la Faille,Spirit of the Rift,6,17,0.35,35%,20.0,7.06,120,2,10.0,3.53
L'Oeil du Héraut,Eye of the Void,11,17,0.65,65%,10.18,6.59,112,0,Gratuit,Gratuit
Âme de Dragon Élémentaire,Elemental Dragon Soul,3,17,0.18,18%,25.0,4.41,75,1,25.0,4.41
Première Ligne,First Line,9,17,0.53,53%,8.0,4.24,72,0,Gratuit,Gratuit
Folie Meurtrière,Killer Momentum,2,17,0.12,12%,30.0,3.53,60,0,Gratuit,Gratuit
Gardien Sous-terrain,Underworld Guardian,4,17,0.24,24%,15.0,3.53,60,1,15.0,3.53
Chasse au Gros,Big Worm Hunter,4,17,0.24,24%,13.0,3.06,52,3,4.33,1.02
Protection Royale,Royal Protector,3,17,0.18,18%,17.0,3.0,51,1,17.0,3.0
Poigne d'Or,Golden Force,2,17,0.12,12%,23.0,2.71,46,1,23.0,2.71
Sceau Profanateur,Seal of Desecration,4,17,0.24,24%,10.0,2.35,40,2,5.0,1.18
Masque du Baron,Baron' s Mask,2,17,0.12,12%,20.0,2.35,40,2,10.0,1.18
Emblème Ancien,Ancient Emblem,1,17,0.06,6%,40.0,2.35,40,3,13.33,0.78
Marteau Conquérant,Conquest Hammer,1,17,0.06,6%,18.0,1.06,18,1,18.0,1.06
Frappes Éclair,Light Swords,1,17,0.06,6%,12.0,0.71,12,0,Gratuit,Gratuit
