,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total
Marteau Dévastateur,Destroyer Hammer,23,25,0.92,92%,17.48,16.08,402,3,5.83,5.36
Perce-Écailles,Scale Tearer,23,25,0.92,92%,13.3,12.24,306,3,4.43,4.08
Folie Meurtrière,Killer Momentum,9,25,0.36,36%,30.0,10.8,270,0,Gratuit,Gratuit
Esprit de la Faille,Spirit of the Rift,13,25,0.52,52%,20.0,10.4,260,2,10.0,5.2
Masque du Baron,Baron' s Mask,12,25,0.48,48%,20.0,9.6,240,2,10.0,4.8
Chasse au Gros,Big Worm Hunter,14,25,0.56,56%,15.79,8.84,221,3,5.26,2.95
L'Oeil du Héraut,Eye of the Void,18,25,0.72,72%,11.56,8.32,208,0,Gratuit,Gratuit
Écailles Magiques,Magic Scales,10,25,0.4,40%,20.0,8.0,200,2,10.0,4.0
Protection Royale,Royal Protector,11,25,0.44,44%,17.0,7.48,187,1,17.0,7.48
Sceau Profanateur,Seal of Desecration,11,25,0.44,44%,13.82,6.08,152,2,6.91,3.04
Poigne d'Or,Golden Force,6,25,0.24,24%,23.0,5.52,138,1,23.0,5.52
Première Ligne,First Line,17,25,0.68,68%,8.0,5.44,136,0,Gratuit,Gratuit
Marteau Conquérant,Conquest Hammer,7,25,0.28,28%,18.0,5.04,126,1,18.0,5.04
Gardien Sous-terrain,Underworld Guardian,8,25,0.32,32%,15.0,4.8,120,1,15.0,4.8
Brise-remparts,Wall Breaker,3,25,0.12,12%,30.0,3.6,90,0,Gratuit,Gratuit
Frappes Éclair,Light Swords,7,25,0.28,28%,12.0,3.36,84,0,Gratuit,Gratuit
Âme de Dragon Élémentaire,Elemental Dragon Soul,3,25,0.12,12%,25.0,3.0,75,1,25.0,3.0
Sceau Draconique Ancestral,Ancestral Dragon Seal,1,25,0.04,4%,35.0,1.4,35,0,Gratuit,Gratuit
