,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total
Marteau Dévastateur,Destroyer Hammer,26,26,1.0,100%,20.19,20.19,525,3,6.73,6.73
Perce-Écailles,Scale Tearer,22,26,0.85,85%,15.27,12.92,336,3,5.09,4.31
Chasse au Gros,Big Worm Hunter,15,26,0.58,58%,18.2,10.5,273,3,6.07,3.5
Protection Royale,Royal Protector,13,26,0.5,50%,17.0,8.5,221,1,17.0,8.5
Folie Meurtrière,Killer Momentum,7,26,0.27,27%,30.0,8.08,210,0,Gratuit,Gratuit
Écailles Magiques,Magic Scales,10,26,0.38,38%,20.0,7.69,200,2,10.0,3.85
Sceau Profanateur,Seal of Desecration,14,26,0.54,54%,14.29,7.69,200,2,7.14,3.85
Masque du Baron,Baron' s Mask,10,26,0.38,38%,20.0,7.69,200,2,10.0,3.85
Marteau Conquérant,Conquest Hammer,11,26,0.42,42%,18.0,7.62,198,1,18.0,7.62
Poigne d'Or,Golden Force,8,26,0.31,31%,23.0,7.08,184,1,23.0,7.08
Esprit de la Faille,Spirit of the Rift,9,26,0.35,35%,20.0,6.92,180,2,10.0,3.46
L'Oeil du Héraut,Eye of the Void,16,26,0.62,62%,11.0,6.77,176,0,Gratuit,Gratuit
Première Ligne,First Line,21,26,0.81,81%,8.0,6.46,168,0,Gratuit,Gratuit
Gardien Sous-terrain,Underworld Guardian,11,26,0.42,42%,15.0,6.35,165,1,15.0,6.35
Âme de Dragon Élémentaire,Elemental Dragon Soul,6,26,0.23,23%,25.0,5.77,150,1,25.0,5.77
Brise-remparts,Wall Breaker,5,26,0.19,19%,30.0,5.77,150,0,Gratuit,Gratuit
Emblème Ancien,Ancient Emblem,3,26,0.12,12%,40.0,4.62,120,3,13.33,1.54
Frappes Éclair,Light Swords,9,26,0.35,35%,12.0,4.15,108,0,Gratuit,Gratuit
Sceau Draconique Ancestral,Ancestral Dragon Seal,3,26,0.12,12%,35.0,4.04,105,0,Gratuit,Gratuit
Bouclier Efficient,Engineer Shield,1,26,0.04,4%,60.0,2.31,60,0,Gratuit,Gratuit
