,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total
Griffes Sauvages,Wild Claw,11,11,1.0,100%,18.45,18.45,203,3,6.15,6.15
Assistance Divine,Sacred Help,9,11,0.82,82%,20.0,16.36,180,2,10.0,8.18
Chasseur de Bêtes,Beast Hunter,9,11,0.82,82%,18.0,14.73,162,2,9.0,7.37
Aveuglement,Incapacitor,11,11,1.0,100%,12.82,12.82,141,3,4.27,4.27
Faux,Scythe,11,11,1.0,100%,9.45,9.45,104,3,3.15,3.15
Mental d'Acier,Steel Aura,5,11,0.45,45%,18.0,8.18,90,2,9.0,4.09
Lame Affutée,Sharp Blade,9,11,0.82,82%,10.0,8.18,90,3,3.33,2.73
Pillard Féroce,Savage Looter,4,11,0.36,36%,20.0,7.27,80,1,20.0,7.27
Esprit Sauvage,Wild Spirit,8,11,0.73,73%,10.0,7.27,80,0,Gratuit,Gratuit
Esprit de l'Écuyer,Spirit of the Squire,9,11,0.82,82%,8.67,7.09,78,3,2.89,2.36
Épée Obscure,Swords of Darkness,5,11,0.45,45%,15.0,6.82,75,1,15.0,6.82
Être de Lumière,Being of Light,4,11,0.36,36%,18.0,6.55,72,1,18.0,6.55
Armure d'Obsidienne,Obsidian Battle Plate,3,11,0.27,27%,20.0,5.45,60,2,10.0,2.73
Tombeau Rocheux,Rock Tomb,6,11,0.55,55%,10.0,5.45,60,1,10.0,5.45
Totem du Gardien,Guardian Totem,11,11,1.0,100%,4.64,4.64,51,3,1.55,1.55
Épées Jumelles,Twin Swords,5,11,0.45,45%,10.0,4.55,50,1,10.0,4.55
Instinct Sanguinaire,Bloody Instinct,3,11,0.27,27%,15.0,4.09,45,2,7.5,2.04
Hache Frénétique,Berseker Ax,3,11,0.27,27%,14.0,3.82,42,2,7.0,1.91
Décharge Élémentaire,Elemental Discharge,2,11,0.18,18%,18.0,3.27,36,1,18.0,3.27
Marteleur précis,Precise Hammer,2,11,0.18,18%,18.0,3.27,36,1,18.0,3.27
Économe Sagesse du Trésorier,Treasurer's Wisdom,2,11,0.18,18%,17.0,3.09,34,2,8.5,1.54
Coup de Mort,Death Helper,3,11,0.27,27%,10.0,2.73,30,1,10.0,2.73
Œil de Lynx,Hawk's Eye,3,11,0.27,27%,8.0,2.18,24,0,Gratuit,Gratuit
Danse Macabre,Dance of Death,3,11,0.27,27%,8.0,2.18,24,1,8.0,2.18
Sabre Versatile,Versatil Saber,2,11,0.18,18%,11.0,2.0,22,1,11.0,2.0
Destruction Royale,Royal Destroyer,2,11,0.18,18%,11.0,2.0,22,0,Gratuit,Gratuit
Désintégrateur Magnétique,Magnetic Disintegrator,2,11,0.18,18%,11.0,2.0,22,0,Gratuit,Gratuit
Esprit omniprésent,Omnipresent Spirit,1,11,0.09,9%,18.0,1.64,18,2,9.0,0.82
Enchaînement Éclair,Unstoppable Lightning,1,11,0.09,9%,18.0,1.64,18,1,18.0,1.64
Elan de Fureur,Rampage Momentum,1,11,0.09,9%,15.0,1.36,15,2,7.5,0.68
Esquive Salvatrice,Evasive Protection,1,11,0.09,9%,15.0,1.36,15,0,Gratuit,Gratuit
Soif de Sang,Thirsty Dagger,1,11,0.09,9%,15.0,1.36,15,0,Gratuit,Gratuit
Bâton Élémentaire,Earthly Staff,1,11,0.09,9%,15.0,1.36,15,0,Gratuit,Gratuit
Chasseur d'Âmes,Soul Hunter,1,11,0.09,9%,15.0,1.36,15,1,15.0,1.36
Armure d'Immortel,Immortal Breastplate,1,11,0.09,9%,14.0,1.27,14,1,14.0,1.27
Lance Doublée,Dual Spear,1,11,0.09,9%,8.0,0.73,8,0,Gratuit,Gratuit
