,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total
Aveuglement,Incapacitor,225,226,1.0,100%,21.19,21.09,4767,3,7.06,7.03
Griffes Sauvages,Wild Claw,226,226,1.0,100%,16.67,16.67,3767,3,5.56,5.56
Assistance Divine,Sacred Help,164,226,0.73,73%,20.0,14.51,3280,2,10.0,7.25
Bâton de Conquête,Conquering Staff,96,226,0.42,42%,24.0,10.19,2304,2,12.0,5.09
Esprit de l'Écuyer,Spirit of the Squire,202,226,0.89,89%,10.14,9.07,2049,3,3.38,3.02
Chasseur de Bêtes,Beast Hunter,113,226,0.5,50%,18.0,9.0,2034,2,9.0,4.5
Faux,Scythe,226,226,1.0,100%,8.71,8.71,1969,3,2.9,2.9
Armure d'Obsidienne,Obsidian Battle Plate,97,226,0.43,43%,20.0,8.58,1940,2,10.0,4.29
Tombeau Rocheux,Rock Tomb,170,226,0.75,75%,10.0,7.52,1700,1,10.0,7.52
Pillard Féroce,Savage Looter,83,226,0.37,37%,20.0,7.35,1660,1,20.0,7.35
Lame Affutée,Sharp Blade,195,226,0.86,86%,8.43,7.27,1644,3,2.81,2.42
Être de Lumière,Being of Light,87,226,0.38,38%,18.0,6.93,1566,1,18.0,6.93
Mental d'Acier,Steel Aura,71,226,0.31,31%,18.0,5.65,1278,2,9.0,2.83
Décharge Élémentaire,Elemental Discharge,69,226,0.31,31%,18.0,5.5,1242,1,18.0,5.5
Esprit Sauvage,Wild Spirit,101,226,0.45,45%,10.0,4.47,1010,0,Gratuit,Gratuit
Totem du Gardien,Guardian Totem,226,226,1.0,100%,4.04,4.04,912,3,1.35,1.35
Œil de Lynx,Hawk's Eye,109,226,0.48,48%,8.0,3.86,872,0,Gratuit,Gratuit
Coup de Mort,Death Helper,87,226,0.38,38%,10.0,3.85,870,1,10.0,3.85
Instinct Sanguinaire,Bloody Instinct,55,226,0.24,24%,15.0,3.65,825,2,7.5,1.82
Sabre Versatile,Versatil Saber,73,226,0.32,32%,11.0,3.55,803,1,11.0,3.55
Bâton du Conquérant,Staff of Conquered Worlds,73,226,0.32,32%,11.0,3.55,803,0,Gratuit,Gratuit
Esprit omniprésent,Omnipresent Spirit,36,226,0.16,16%,18.0,2.87,648,2,9.0,1.44
Épée Obscure,Swords of Darkness,41,226,0.18,18%,15.0,2.72,615,1,15.0,2.72
Marteleur précis,Precise Hammer,34,226,0.15,15%,18.0,2.71,612,1,18.0,2.71
Économe Sagesse du Trésorier,Treasurer's Wisdom,35,226,0.15,15%,17.0,2.63,595,2,8.5,1.31
Soif de Sang,Thirsty Dagger,35,226,0.15,15%,15.0,2.32,525,0,Gratuit,Gratuit
Épées Jumelles,Twin Swords,41,226,0.18,18%,12.44,2.26,510,1,12.44,2.26
