,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total
Aveuglement,Incapacitor,18,18,1.0,100%,20.83,20.83,375,3,6.94,6.94
Assistance Divine,Sacred Help,17,18,0.94,94%,20.0,18.89,340,2,10.0,9.45
Griffes Sauvages,Wild Claw,18,18,1.0,100%,16.06,16.06,289,3,5.35,5.35
Bâton de Conquête,Conquering Staff,7,18,0.39,39%,24.0,9.33,168,2,12.0,4.67
Lame Affutée,Sharp Blade,17,18,0.94,94%,9.53,9.0,162,3,3.18,3.0
Faux,Scythe,18,18,1.0,100%,8.94,8.94,161,3,2.98,2.98
Esprit de l'Écuyer,Spirit of the Squire,15,18,0.83,83%,10.2,8.5,153,3,3.4,2.83
Tombeau Rocheux,Rock Tomb,15,18,0.83,83%,10.0,8.33,150,1,10.0,8.33
Être de Lumière,Being of Light,8,18,0.44,44%,18.0,8.0,144,1,18.0,8.0
Décharge Élémentaire,Elemental Discharge,8,18,0.44,44%,18.0,8.0,144,1,18.0,8.0
Armure d'Obsidienne,Obsidian Battle Plate,7,18,0.39,39%,20.0,7.78,140,2,10.0,3.89
Pillard Féroce,Savage Looter,7,18,0.39,39%,20.0,7.78,140,1,20.0,7.78
Marteleur précis,Precise Hammer,7,18,0.39,39%,18.0,7.0,126,1,18.0,7.0
Mental d'Acier,Steel Aura,7,18,0.39,39%,18.0,7.0,126,2,9.0,3.5
Épée Obscure,Swords of Darkness,6,18,0.33,33%,15.0,5.0,90,1,15.0,5.0
Instinct Sanguinaire,Bloody Instinct,6,18,0.33,33%,15.0,5.0,90,2,7.5,2.5
Esquive Salvatrice,Evasive Protection,5,18,0.28,28%,15.0,4.17,75,0,Gratuit,Gratuit
Armure d'Immortel,Immortal Breastplate,5,18,0.28,28%,14.0,3.89,70,1,14.0,3.89
Totem du Gardien,Guardian Totem,18,18,1.0,100%,3.78,3.78,68,3,1.26,1.26
Sabre Versatile,Versatil Saber,6,18,0.33,33%,11.0,3.67,66,1,11.0,3.67
Esprit Sauvage,Wild Spirit,6,18,0.33,33%,10.0,3.33,60,0,Gratuit,Gratuit
Explosion Arcanique,Arcane Explosive,5,18,0.28,28%,12.0,3.33,60,1,12.0,3.33
Épées Jumelles,Twin Swords,6,18,0.33,33%,10.0,3.33,60,1,10.0,3.33
Coup de Mort,Death Helper,6,18,0.33,33%,10.0,3.33,60,1,10.0,3.33
Œil de Lynx,Hawk's Eye,7,18,0.39,39%,8.0,3.11,56,0,Gratuit,Gratuit
Bâton du Conquérant,Staff of Conquered Worlds,5,18,0.28,28%,11.0,3.06,55,0,Gratuit,Gratuit
Esprit omniprésent,Omnipresent Spirit,3,18,0.17,17%,18.0,3.0,54,2,9.0,1.5
Chasseur de Bêtes,Beast Hunter,3,18,0.17,17%,18.0,3.0,54,2,9.0,1.5
Enchaînement Éclair,Unstoppable Lightning,3,18,0.17,17%,18.0,3.0,54,1,18.0,3.0
Économe Sagesse du Trésorier,Treasurer's Wisdom,3,18,0.17,17%,17.0,2.83,51,2,8.5,1.42
Danse Macabre,Dance of Death,6,18,0.33,33%,8.0,2.67,48,1,8.0,2.67
Elan de Fureur,Rampage Momentum,3,18,0.17,17%,15.0,2.5,45,2,7.5,1.25
Désintégrateur Magnétique,Magnetic Disintegrator,4,18,0.22,22%,11.0,2.44,44,0,Gratuit,Gratuit
Destruction Royale,Royal Destroyer,3,18,0.17,17%,11.0,1.83,33,0,Gratuit,Gratuit
Force Divine,Divine Impetu,3,18,0.17,17%,11.0,1.83,33,0,Gratuit,Gratuit
Triple Météore,Trimeteor,1,18,0.06,6%,30.0,1.67,30,0,Gratuit,Gratuit
Le Croque-mort,The Undertaker,2,18,0.11,11%,14.0,1.56,28,1,14.0,1.56
Ascension Divine,Divine Ascent,1,18,0.06,6%,25.0,1.39,25,3,8.33,0.46
Lance Doublée,Dual Spear,3,18,0.17,17%,8.0,1.33,24,0,Gratuit,Gratuit
Amulette Omnisciente,Omnipresent Amulet,2,18,0.11,11%,11.0,1.22,22,0,Gratuit,Gratuit
Lance Triplée,Triple Spear,1,18,0.06,6%,20.0,1.11,20,0,Gratuit,Gratuit
Épé Sainte,Holy Sword,2,18,0.11,11%,10.0,1.11,20,0,Gratuit,Gratuit
Parchemin Secret,Secret Scroll,1,18,0.06,6%,18.0,1.0,18,2,9.0,0.5
Le Traqueur,The Stalker,1,18,0.06,6%,18.0,1.0,18,3,6.0,0.33
Masse de Siège,Siege Mace,1,18,0.06,6%,16.0,0.89,16,0,Gratuit,Gratuit
Chasseur d'Âmes,Soul Hunter,1,18,0.06,6%,15.0,0.83,15,1,15.0,0.83
Bâton Élémentaire,Earthly Staff,1,18,0.06,6%,15.0,0.83,15,0,Gratuit,Gratuit
