,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total
Aveuglement,Incapacitor,15,15,1.0,100%,23.0,23.0,345,3,7.67,7.67
Faux,Scythe,15,15,1.0,100%,16.8,16.8,252,3,5.6,5.6
Armure d'Obsidienne,Obsidian Battle Plate,12,15,0.8,80%,20.0,16.0,240,2,10.0,8.0
Lame Insatiable,Fast Furious Blade,13,15,0.87,87%,16.0,13.87,208,2,8.0,6.93
Économe Sagesse du Trésorier,Treasurer's Wisdom,12,15,0.8,80%,17.0,13.6,204,2,8.5,6.8
Faux Assoiffées,Thirsty Scythes,8,15,0.53,53%,25.0,13.33,200,3,8.33,4.44
Frappe Chirurgicale,Accurate Sword,11,15,0.73,73%,16.0,11.73,176,1,16.0,11.73
Lame Affutée,Sharp Blade,14,15,0.93,93%,11.79,11.0,165,3,3.93,3.67
Hache Frénétique,Berseker Ax,11,15,0.73,73%,14.0,10.27,154,2,7.0,5.13
Griffes Démoniaques,Demon Claws,9,15,0.6,60%,17.0,10.2,153,1,17.0,10.2
Chasseresse d'Âmes,Huntress of Souls,8,15,0.53,53%,19.0,10.13,152,1,19.0,10.13
Parchemin Secret,Secret Scroll,7,15,0.47,47%,18.0,8.4,126,2,9.0,4.2
Explosion Arcanique,Arcane Explosive,10,15,0.67,67%,12.0,8.0,120,1,12.0,8.0
Bâton de Conquête,Conquering Staff,5,15,0.33,33%,24.0,8.0,120,2,12.0,4.0
Épée Obscure,Swords of Darkness,7,15,0.47,47%,15.0,7.0,105,1,15.0,7.0
Esprit de l'Écuyer,Spirit of the Squire,13,15,0.87,87%,7.85,6.8,102,3,2.62,2.27
Elan de Fureur,Rampage Momentum,6,15,0.4,40%,15.0,6.0,90,2,7.5,3.0
Marteleur précis,Precise Hammer,5,15,0.33,33%,18.0,6.0,90,1,18.0,6.0
Totem du Gardien,Guardian Totem,15,15,1.0,100%,5.8,5.8,87,3,1.93,1.93
Armure d'Immortel,Immortal Breastplate,6,15,0.4,40%,14.0,5.6,84,1,14.0,5.6
Glaive Vindicatif,Large Sword of Hate,4,15,0.27,27%,20.0,5.33,80,1,20.0,5.33
Aura Légendaire,Legend Aura,2,15,0.13,13%,40.0,5.33,80,3,13.33,1.78
Épées Jumelles,Twin Swords,7,15,0.47,47%,11.43,5.33,80,1,11.43,5.33
Couronne du Roi Nain,Crown of the Dwarf King,6,15,0.4,40%,13.0,5.2,78,0,Gratuit,Gratuit
Ascension Divine,Divine Ascent,3,15,0.2,20%,25.0,5.0,75,3,8.33,1.67
Enchaînement Éclair,Unstoppable Lightning,4,15,0.27,27%,18.0,4.8,72,1,18.0,4.8
Le Croque-mort,The Undertaker,5,15,0.33,33%,14.0,4.67,70,1,14.0,4.67
Esprit Guerrier,Spirit of the Warrior,4,15,0.27,27%,16.0,4.27,64,1,16.0,4.27
Instinct Sanguinaire,Bloody Instinct,4,15,0.27,27%,15.0,4.0,60,2,7.5,2.0
Pillard Féroce,Savage Looter,3,15,0.2,20%,20.0,4.0,60,1,20.0,4.0
Esquive Salvatrice,Evasive Protection,4,15,0.27,27%,15.0,4.0,60,0,Gratuit,Gratuit
Triple Météore,Trimeteor,2,15,0.13,13%,30.0,4.0,60,0,Gratuit,Gratuit
Danse Macabre,Dance of Death,7,15,0.47,47%,8.0,3.73,56,1,8.0,3.73
Sabre Versatile,Versatil Saber,5,15,0.33,33%,11.0,3.67,55,1,11.0,3.67
Bâton du Conquérant,Staff of Conquered Worlds,5,15,0.33,33%,11.0,3.67,55,0,Gratuit,Gratuit
Tombeau Rocheux,Rock Tomb,5,15,0.33,33%,10.0,3.33,50,1,10.0,3.33
Griffes Sauvages,Wild Claw,15,15,1.0,100%,3.13,3.13,47,3,1.04,1.04
Désintégrateur Magnétique,Magnetic Disintegrator,4,15,0.27,27%,11.0,2.93,44,0,Gratuit,Gratuit
Assistance Divine,Sacred Help,2,15,0.13,13%,20.0,2.67,40,2,10.0,1.33
Lance Triplée,Triple Spear,2,15,0.13,13%,20.0,2.67,40,0,Gratuit,Gratuit
Épé Sainte,Holy Sword,4,15,0.27,27%,10.0,2.67,40,0,Gratuit,Gratuit
Lance Doublée,Dual Spear,5,15,0.33,33%,8.0,2.67,40,0,Gratuit,Gratuit
Le Traqueur,The Stalker,2,15,0.13,13%,18.0,2.4,36,3,6.0,0.8
Esprit omniprésent,Omnipresent Spirit,2,15,0.13,13%,18.0,2.4,36,2,9.0,1.2
Force Divine,Divine Impetu,3,15,0.2,20%,11.0,2.2,33,0,Gratuit,Gratuit
Destruction Royale,Royal Destroyer,3,15,0.2,20%,11.0,2.2,33,0,Gratuit,Gratuit
Masse Colossale,Colossal Mace,3,15,0.2,20%,11.0,2.2,33,0,Gratuit,Gratuit
Masse de Siège,Siege Mace,2,15,0.13,13%,16.0,2.13,32,0,Gratuit,Gratuit
Œil de Lynx,Hawk's Eye,4,15,0.27,27%,8.0,2.13,32,0,Gratuit,Gratuit
Chasseur d'Âmes,Soul Hunter,2,15,0.13,13%,15.0,2.0,30,1,15.0,2.0
Bâton Élémentaire,Earthly Staff,2,15,0.13,13%,15.0,2.0,30,0,Gratuit,Gratuit
Vision Céleste,Heavenly Vision,1,15,0.07,7%,22.0,1.47,22,2,11.0,0.73
Coup de Mort,Death Helper,2,15,0.13,13%,10.0,1.33,20,1,10.0,1.33
Soif de Sang,Thirsty Dagger,1,15,0.07,7%,15.0,1.0,15,0,Gratuit,Gratuit
Amulette Omnisciente,Omnipresent Amulet,1,15,0.07,7%,11.0,0.73,11,0,Gratuit,Gratuit
