,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total
Totem du Gardien,Guardian Totem,170,170,1.0,100%,16.01,16.01,2721,3,5.34,5.34
Le Traqueur,The Stalker,136,170,0.8,80%,17.74,14.19,2412,3,5.91,4.73
Esprit de l'Écuyer,Spirit of the Squire,156,170,0.92,92%,13.75,12.62,2145,3,4.58,4.21
Totem Équivalent,Equivalent Totem,170,170,1.0,100%,12.22,12.22,2077,2,6.11,6.11
Vision Céleste,Heavenly Vision,80,170,0.47,47%,22.0,10.35,1760,2,11.0,5.17
Aveuglement,Incapacitor,160,170,0.94,94%,10.86,10.22,1737,3,3.62,3.41
Le Visionnaire,The Visionary,86,170,0.51,51%,18.0,9.11,1548,2,9.0,4.55
Armure d'Obsidienne,Obsidian Battle Plate,77,170,0.45,45%,20.0,9.06,1540,2,10.0,4.53
Œil de Lynx,Hawk's Eye,161,170,0.95,95%,8.96,8.48,1442,0,Gratuit,Gratuit
Marteau Collecteur,Collecting Hammer,95,170,0.56,56%,13.57,7.58,1289,2,6.79,3.79
Coup de Mort,Death Helper,93,170,0.55,55%,11.39,6.23,1059,1,11.39,6.23
Bâton de Conquête,Conquering Staff,43,170,0.25,25%,24.0,6.07,1032,2,12.0,3.04
Amulette Omnisciente,Omnipresent Amulet,65,170,0.38,38%,12.66,4.84,823,0,Gratuit,Gratuit
Assistance Divine,Sacred Help,40,170,0.24,24%,20.0,4.71,800,2,10.0,2.35
Esprit omniprésent,Omnipresent Spirit,37,170,0.22,22%,18.0,3.92,666,2,9.0,1.96
Le Marionnettiste,The Puppeteer,32,170,0.19,19%,20.0,3.76,640,2,10.0,1.88
Sabre Versatile,Versatil Saber,57,170,0.34,34%,11.0,3.69,627,1,11.0,3.69
Être de Lumière,Being of Light,27,170,0.16,16%,18.0,2.86,486,1,18.0,2.86
Lame Affutée,Sharp Blade,97,170,0.57,57%,4.86,2.77,471,3,1.62,0.92
Armure d'Immortel,Immortal Breastplate,28,170,0.16,16%,14.57,2.4,408,1,14.57,2.4
Bâton du Conquérant,Staff of Conquered Worlds,32,170,0.19,19%,11.0,2.07,352,0,Gratuit,Gratuit
Force Divine,Divine Impetu,27,170,0.16,16%,12.33,1.96,333,0,Gratuit,Gratuit
Masse de Siège,Siege Mace,18,170,0.11,11%,16.0,1.69,288,0,Gratuit,Gratuit
Marteleur précis,Precise Hammer,10,170,0.06,6%,18.0,1.06,180,1,18.0,1.06
Hache Frénétique,Berseker Ax,11,170,0.06,6%,14.0,0.91,154,2,7.0,0.46
Faux,Scythe,112,170,0.66,66%,1.36,0.89,152,3,0.45,0.3
Soif de Sang,Thirsty Dagger,10,170,0.06,6%,15.0,0.88,150,0,Gratuit,Gratuit
Désintégrateur Magnétique,Magnetic Disintegrator,13,170,0.08,8%,11.0,0.84,143,0,Gratuit,Gratuit
Elan de Fureur,Rampage Momentum,5,170,0.03,3%,15.0,0.44,75,2,7.5,0.22
Épée Obscure,Swords of Darkness,4,170,0.02,2%,17.0,0.4,68,1,17.0,0.4
Ascension Divine,Divine Ascent,2,170,0.01,1%,25.0,0.29,50,3,8.33,0.1
Danse Macabre,Dance of Death,6,170,0.04,4%,8.0,0.28,48,1,8.0,0.28
Enchaînement Éclair,Unstoppable Lightning,2,170,0.01,1%,18.0,0.21,36,1,18.0,0.21
Chasseur d'Âmes,Soul Hunter,2,170,0.01,1%,17.5,0.21,35,1,17.5,0.21
Adrénaline Arcanique,Arcane Adrenaline,2,170,0.01,1%,16.0,0.19,32,1,16.0,0.19
Triple Météore,Trimeteor,1,170,0.01,1%,30.0,0.18,30,0,Gratuit,Gratuit
Économe Sagesse du Trésorier,Treasurer's Wisdom,1,170,0.01,1%,17.0,0.1,17,2,8.5,0.05
Épé Sainte,Holy Sword,1,170,0.01,1%,10.0,0.06,10,0,Gratuit,Gratuit
Griffes Sauvages,Wild Claw,1,170,0.01,1%,1.0,0.01,1,3,0.33,0.0
