,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total
Aveuglement,Incapacitor,16,16,1.0,100%,29.06,29.06,465,3,9.69,9.69
Bâton de Conquête,Conquering Staff,12,16,0.75,75%,24.0,18.0,288,2,12.0,9.0
Griffes Sauvages,Wild Claw,16,16,1.0,100%,17.81,17.81,285,3,5.94,5.94
Assistance Divine,Sacred Help,12,16,0.75,75%,20.0,15.0,240,2,10.0,7.5
Pillard Féroce,Savage Looter,9,16,0.56,56%,20.0,11.25,180,1,20.0,11.25
Armure d'Obsidienne,Obsidian Battle Plate,8,16,0.5,50%,20.0,10.0,160,2,10.0,5.0
Faux,Scythe,16,16,1.0,100%,9.62,9.62,154,3,3.21,3.21
Esprit de l'Écuyer,Spirit of the Squire,15,16,0.94,94%,9.4,8.81,141,3,3.13,2.94
Tombeau Rocheux,Rock Tomb,14,16,0.88,88%,10.0,8.75,140,1,10.0,8.75
Décharge Élémentaire,Elemental Discharge,7,16,0.44,44%,18.0,7.88,126,1,18.0,7.88
Bâton du Conquérant,Staff of Conquered Worlds,11,16,0.69,69%,11.0,7.56,121,0,Gratuit,Gratuit
Être de Lumière,Being of Light,6,16,0.38,38%,18.0,6.75,108,1,18.0,6.75
Chasseur de Bêtes,Beast Hunter,6,16,0.38,38%,18.0,6.75,108,2,9.0,3.38
Œil de Lynx,Hawk's Eye,13,16,0.81,81%,8.0,6.5,104,0,Gratuit,Gratuit
Lame Affutée,Sharp Blade,13,16,0.81,81%,7.85,6.38,102,3,2.62,2.13
Esprit Sauvage,Wild Spirit,8,16,0.5,50%,10.0,5.0,80,0,Gratuit,Gratuit
Totem du Gardien,Guardian Totem,16,16,1.0,100%,4.38,4.38,70,3,1.46,1.46
Coup de Mort,Death Helper,6,16,0.38,38%,10.0,3.75,60,1,10.0,3.75
Mental d'Acier,Steel Aura,3,16,0.19,19%,18.0,3.38,54,2,9.0,1.69
Armure d'Immortel,Immortal Breastplate,3,16,0.19,19%,14.0,2.62,42,1,14.0,2.62
Esprit omniprésent,Omnipresent Spirit,2,16,0.12,12%,18.0,2.25,36,2,9.0,1.12
Marteleur précis,Precise Hammer,2,16,0.12,12%,18.0,2.25,36,1,18.0,2.25
Économe Sagesse du Trésorier,Treasurer's Wisdom,2,16,0.12,12%,17.0,2.12,34,2,8.5,1.06
Sabre Versatile,Versatil Saber,3,16,0.19,19%,11.0,2.06,33,1,11.0,2.06
Soif de Sang,Thirsty Dagger,2,16,0.12,12%,15.0,1.88,30,0,Gratuit,Gratuit
Instinct Sanguinaire,Bloody Instinct,2,16,0.12,12%,15.0,1.88,30,2,7.5,0.94
Bâton Élémentaire,Earthly Staff,2,16,0.12,12%,15.0,1.88,30,0,Gratuit,Gratuit
Elan de Fureur,Rampage Momentum,2,16,0.12,12%,15.0,1.88,30,2,7.5,0.94
Hache Frénétique,Berseker Ax,2,16,0.12,12%,14.0,1.75,28,2,7.0,0.88
Ascension Divine,Divine Ascent,1,16,0.06,6%,25.0,1.56,25,3,8.33,0.52
Danse Macabre,Dance of Death,3,16,0.19,19%,8.0,1.5,24,1,8.0,1.5
Force Divine,Divine Impetu,2,16,0.12,12%,11.0,1.38,22,0,Gratuit,Gratuit
Vision Céleste,Heavenly Vision,1,16,0.06,6%,22.0,1.38,22,2,11.0,0.69
Épé Sainte,Holy Sword,2,16,0.12,12%,10.0,1.25,20,0,Gratuit,Gratuit
Le Traqueur,The Stalker,1,16,0.06,6%,18.0,1.12,18,3,6.0,0.37
Épée Obscure,Swords of Darkness,1,16,0.06,6%,15.0,0.94,15,1,15.0,0.94
Le Croque-mort,The Undertaker,1,16,0.06,6%,14.0,0.88,14,1,14.0,0.88
Amulette Omnisciente,Omnipresent Amulet,1,16,0.06,6%,11.0,0.69,11,0,Gratuit,Gratuit
Épées Jumelles,Twin Swords,1,16,0.06,6%,10.0,0.62,10,1,10.0,0.62
Lance Doublée,Dual Spear,1,16,0.06,6%,8.0,0.5,8,0,Gratuit,Gratuit
