,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total
Griffes Sauvages,Wild Claw,17,17,1.0,100%,18.94,18.94,322,3,6.31,6.31
Aveuglement,Incapacitor,17,17,1.0,100%,16.59,16.59,282,3,5.53,5.53
Armure d'Obsidienne,Obsidian Battle Plate,13,17,0.76,76%,20.0,15.29,260,2,10.0,7.64
Chasseur de Bêtes,Beast Hunter,14,17,0.82,82%,18.0,14.82,252,2,9.0,7.41
Assistance Divine,Sacred Help,12,17,0.71,71%,20.0,14.12,240,2,10.0,7.06
Pillard Féroce,Savage Looter,11,17,0.65,65%,20.0,12.94,220,1,20.0,12.94
Lame Affutée,Sharp Blade,17,17,1.0,100%,12.0,12.0,204,3,4.0,4.0
Esprit de l'Écuyer,Spirit of the Squire,17,17,1.0,100%,10.41,10.41,177,3,3.47,3.47
Tombeau Rocheux,Rock Tomb,17,17,1.0,100%,10.0,10.0,170,1,10.0,10.0
Faux,Scythe,17,17,1.0,100%,9.65,9.65,164,3,3.22,3.22
Elan de Fureur,Rampage Momentum,9,17,0.53,53%,15.0,7.94,135,2,7.5,3.97
Sabre Versatile,Versatil Saber,12,17,0.71,71%,11.0,7.76,132,1,11.0,7.76
Décharge Élémentaire,Elemental Discharge,7,17,0.41,41%,18.0,7.41,126,1,18.0,7.41
Être de Lumière,Being of Light,7,17,0.41,41%,18.0,7.41,126,1,18.0,7.41
Esprit Sauvage,Wild Spirit,11,17,0.65,65%,10.0,6.47,110,0,Gratuit,Gratuit
Armure d'Immortel,Immortal Breastplate,7,17,0.41,41%,14.0,5.76,98,1,14.0,5.76
Danse Macabre,Dance of Death,10,17,0.59,59%,8.0,4.71,80,1,8.0,4.71
Force Divine,Divine Impetu,7,17,0.41,41%,11.0,4.53,77,0,Gratuit,Gratuit
Épée Obscure,Swords of Darkness,5,17,0.29,29%,15.0,4.41,75,1,15.0,4.41
Enchaînement Éclair,Unstoppable Lightning,4,17,0.24,24%,18.0,4.24,72,1,18.0,4.24
Bâton de Conquête,Conquering Staff,3,17,0.18,18%,24.0,4.24,72,2,12.0,2.12
Le Croque-mort,The Undertaker,5,17,0.29,29%,14.0,4.12,70,1,14.0,4.12
Épées Jumelles,Twin Swords,5,17,0.29,29%,14.0,4.12,70,1,14.0,4.12
Coup de Mort,Death Helper,6,17,0.35,35%,10.0,3.53,60,1,10.0,3.53
Soif de Sang,Thirsty Dagger,4,17,0.24,24%,15.0,3.53,60,0,Gratuit,Gratuit
Esquive Salvatrice,Evasive Protection,4,17,0.24,24%,15.0,3.53,60,0,Gratuit,Gratuit
Mental d'Acier,Steel Aura,3,17,0.18,18%,18.0,3.18,54,2,9.0,1.59
Totem du Gardien,Guardian Totem,17,17,1.0,100%,3.18,3.18,54,3,1.06,1.06
Masse de Siège,Siege Mace,3,17,0.18,18%,16.0,2.82,48,0,Gratuit,Gratuit
Bâton du Conquérant,Staff of Conquered Worlds,4,17,0.24,24%,11.0,2.59,44,0,Gratuit,Gratuit
Épé Sainte,Holy Sword,4,17,0.24,24%,10.0,2.35,40,0,Gratuit,Gratuit
Économe Sagesse du Trésorier,Treasurer's Wisdom,2,17,0.12,12%,17.0,2.0,34,2,8.5,1.0
Œil de Lynx,Hawk's Eye,4,17,0.24,24%,8.0,1.88,32,0,Gratuit,Gratuit
Hache Frénétique,Berseker Ax,2,17,0.12,12%,14.0,1.65,28,2,7.0,0.82
Ascension Divine,Divine Ascent,1,17,0.06,6%,25.0,1.47,25,3,8.33,0.49
Lance Doublée,Dual Spear,3,17,0.18,18%,8.0,1.41,24,0,Gratuit,Gratuit
Vision Céleste,Heavenly Vision,1,17,0.06,6%,22.0,1.29,22,2,11.0,0.65
Marteleur précis,Precise Hammer,1,17,0.06,6%,18.0,1.06,18,1,18.0,1.06
Esprit omniprésent,Omnipresent Spirit,1,17,0.06,6%,18.0,1.06,18,2,9.0,0.53
Le Traqueur,The Stalker,1,17,0.06,6%,18.0,1.06,18,3,6.0,0.35
Frappe Chirurgicale,Accurate Sword,1,17,0.06,6%,16.0,0.94,16,1,16.0,0.94
Bâton Élémentaire,Earthly Staff,1,17,0.06,6%,15.0,0.88,15,0,Gratuit,Gratuit
Instinct Sanguinaire,Bloody Instinct,1,17,0.06,6%,15.0,0.88,15,2,7.5,0.44
Désintégrateur Magnétique,Magnetic Disintegrator,1,17,0.06,6%,11.0,0.65,11,0,Gratuit,Gratuit
