,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total
Marteau Dévastateur,Destroyer Hammer,12,12,1.0,100%,18.75,18.75,225,3,6.25,6.25
Perce-Écailles,Scale Tearer,11,12,0.92,92%,16.91,15.5,186,3,5.64,5.17
Chasse au Gros,Big Worm Hunter,7,12,0.58,58%,20.43,11.92,143,3,6.81,3.97
Masque du Baron,Baron' s Mask,6,12,0.5,50%,20.0,10.0,120,2,10.0,5.0
Écailles Magiques,Magic Scales,5,12,0.42,42%,20.0,8.33,100,2,10.0,4.17
Esprit de la Faille,Spirit of the Rift,5,12,0.42,42%,20.0,8.33,100,2,10.0,4.17
Poigne d'Or,Golden Force,4,12,0.33,33%,23.0,7.67,92,1,23.0,7.67
Brise-remparts,Wall Breaker,3,12,0.25,25%,30.0,7.5,90,0,Gratuit,Gratuit
Sceau Profanateur,Seal of Desecration,5,12,0.42,42%,17.6,7.33,88,2,8.8,3.67
Âme de Dragon Élémentaire,Elemental Dragon Soul,3,12,0.25,25%,25.0,6.25,75,1,25.0,6.25
L'Oeil du Héraut,Eye of the Void,6,12,0.5,50%,12.0,6.0,72,0,Gratuit,Gratuit
Marteau Conquérant,Conquest Hammer,4,12,0.33,33%,18.0,6.0,72,1,18.0,6.0
Première Ligne,First Line,9,12,0.75,75%,8.0,6.0,72,0,Gratuit,Gratuit
Protection Royale,Royal Protector,4,12,0.33,33%,17.0,5.67,68,1,17.0,5.67
Folie Meurtrière,Killer Momentum,2,12,0.17,17%,30.0,5.0,60,0,Gratuit,Gratuit
Gardien Sous-terrain,Underworld Guardian,4,12,0.33,33%,15.0,5.0,60,1,15.0,5.0
Frappes Éclair,Light Swords,4,12,0.33,33%,12.0,4.0,48,0,Gratuit,Gratuit
Emblème Ancien,Ancient Emblem,1,12,0.08,8%,40.0,3.33,40,3,13.33,1.11
