,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total
Faux,Scythe,21,21,1.0,100%,15.57,15.57,327,3,5.19,5.19
Armure d'Obsidienne,Obsidian Battle Plate,12,21,0.57,57%,20.0,11.43,240,2,10.0,5.71
Économe Sagesse du Trésorier,Treasurer's Wisdom,14,21,0.67,67%,17.0,11.33,238,2,8.5,5.67
Lame Affutée,Sharp Blade,20,21,0.95,95%,11.25,10.71,225,3,3.75,3.57
Ascension Divine,Divine Ascent,9,21,0.43,43%,25.0,10.71,225,3,8.33,3.57
Hache Frénétique,Berseker Ax,15,21,0.71,71%,14.0,10.0,210,2,7.0,5.0
Aveuglement,Incapacitor,20,21,0.95,95%,9.75,9.29,195,3,3.25,3.1
Explosion Arcanique,Arcane Explosive,11,21,0.52,52%,12.0,6.29,132,1,12.0,6.29
Esprit de l'Écuyer,Spirit of the Squire,18,21,0.86,86%,7.0,6.0,126,3,2.33,2.0
Lame Insatiable,Fast Furious Blade,7,21,0.33,33%,16.0,5.33,112,2,8.0,2.67
Marteleur précis,Precise Hammer,6,21,0.29,29%,18.0,5.14,108,1,18.0,5.14
Faux Assoiffées,Thirsty Scythes,4,21,0.19,19%,25.0,4.76,100,3,8.33,1.59
Esprit Guerrier,Spirit of the Warrior,6,21,0.29,29%,16.0,4.57,96,1,16.0,4.57
Épée Obscure,Swords of Darkness,6,21,0.29,29%,15.0,4.29,90,1,15.0,4.29
Chasseur d'Âmes,Soul Hunter,6,21,0.29,29%,15.0,4.29,90,1,15.0,4.29
Parchemin Secret,Secret Scroll,5,21,0.24,24%,18.0,4.29,90,2,9.0,2.15
Épées Jumelles,Twin Swords,6,21,0.29,29%,15.0,4.29,90,1,15.0,4.29
Triple Météore,Trimeteor,3,21,0.14,14%,30.0,4.29,90,0,Gratuit,Gratuit
Le Croque-mort,The Undertaker,6,21,0.29,29%,14.0,4.0,84,1,14.0,4.0
Aura Légendaire,Legend Aura,2,21,0.1,10%,40.0,3.81,80,3,13.33,1.27
Glaive Vindicatif,Large Sword of Hate,4,21,0.19,19%,20.0,3.81,80,1,20.0,3.81
Enchaînement Éclair,Unstoppable Lightning,4,21,0.19,19%,18.0,3.43,72,1,18.0,3.43
Totem du Gardien,Guardian Totem,21,21,1.0,100%,3.33,3.33,70,3,1.11,1.11
Sabre Versatile,Versatil Saber,6,21,0.29,29%,11.0,3.14,66,1,11.0,3.14
Danse Macabre,Dance of Death,8,21,0.38,38%,8.0,3.05,64,1,8.0,3.05
Griffes Sauvages,Wild Claw,19,21,0.9,90%,3.32,3.0,63,3,1.11,1.0
Tombeau Rocheux,Rock Tomb,6,21,0.29,29%,10.0,2.86,60,1,10.0,2.86
Lance Triplée,Triple Spear,3,21,0.14,14%,20.0,2.86,60,0,Gratuit,Gratuit
Elan de Fureur,Rampage Momentum,4,21,0.19,19%,15.0,2.86,60,2,7.5,1.43
Bâton Élémentaire,Earthly Staff,4,21,0.19,19%,15.0,2.86,60,0,Gratuit,Gratuit
Masse Colossale,Colossal Mace,5,21,0.24,24%,11.0,2.62,55,0,Gratuit,Gratuit
Coup de Mort,Death Helper,5,21,0.24,24%,10.0,2.38,50,1,10.0,2.38
Désintégrateur Magnétique,Magnetic Disintegrator,4,21,0.19,19%,11.0,2.1,44,0,Gratuit,Gratuit
Assistance Divine,Sacred Help,2,21,0.1,10%,20.0,1.9,40,2,10.0,0.95
Lance Doublée,Dual Spear,5,21,0.24,24%,8.0,1.9,40,0,Gratuit,Gratuit
Épé Sainte,Holy Sword,4,21,0.19,19%,10.0,1.9,40,0,Gratuit,Gratuit
Pillard Féroce,Savage Looter,2,21,0.1,10%,20.0,1.9,40,1,20.0,1.9
Couronne du Roi Nain,Crown of the Dwarf King,3,21,0.14,14%,13.0,1.86,39,0,Gratuit,Gratuit
Chasseresse d'Âmes,Huntress of Souls,2,21,0.1,10%,19.0,1.81,38,1,19.0,1.81
Mental d'Acier,Steel Aura,2,21,0.1,10%,18.0,1.71,36,2,9.0,0.85
Griffes Démoniaques,Demon Claws,2,21,0.1,10%,17.0,1.62,34,1,17.0,1.62
Destruction Royale,Royal Destroyer,3,21,0.14,14%,11.0,1.57,33,0,Gratuit,Gratuit
Armure d'Immortel,Immortal Breastplate,2,21,0.1,10%,14.0,1.33,28,1,14.0,1.33
Le Marionnettiste,The Puppeteer,1,21,0.05,5%,20.0,0.95,20,2,10.0,0.47
Masse de Siège,Siege Mace,1,21,0.05,5%,16.0,0.76,16,0,Gratuit,Gratuit
Esquive Salvatrice,Evasive Protection,1,21,0.05,5%,15.0,0.71,15,0,Gratuit,Gratuit
Soif de Sang,Thirsty Dagger,1,21,0.05,5%,15.0,0.71,15,0,Gratuit,Gratuit
Œil de Lynx,Hawk's Eye,1,21,0.05,5%,8.0,0.38,8,0,Gratuit,Gratuit
