,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total
Perce-Écailles,Scale Tearer,140,170,0.82,82%,15.62,12.86,2187,3,5.21,4.29
Marteau Dévastateur,Destroyer Hammer,164,170,0.96,96%,13.23,12.76,2170,2,6.62,6.38
Marteau Conquérant,Conquest Hammer,92,170,0.54,54%,22.0,11.91,2024,3,7.33,3.97
Esprit de la Faille,Spirit of the Rift,85,170,0.5,50%,22.35,11.18,1900,2,11.18,5.59
Écailles Magiques,Magic Scales,85,170,0.5,50%,22.35,11.18,1900,2,11.18,5.59
Masque du Baron,Baron' s Mask,82,170,0.48,48%,22.44,10.82,1840,2,11.22,5.41
Chasse au Gros,Big Worm Hunter,95,170,0.56,56%,18.81,10.51,1787,3,6.27,3.5
L'Oeil du Héraut,Eye of the Void,106,170,0.62,62%,13.58,8.47,1440,0,Gratuit,Gratuit
Poigne d'Or,Golden Force,59,170,0.35,35%,23.0,7.98,1357,1,23.0,7.98
Sceau Profanateur,Seal of Desecration,92,170,0.54,54%,14.61,7.91,1344,2,7.3,3.96
Protection Royale,Royal Protector,78,170,0.46,46%,17.0,7.8,1326,1,17.0,7.8
Gardien Sous-terrain,Underworld Guardian,75,170,0.44,44%,15.0,6.62,1125,1,15.0,6.62
Première Ligne,First Line,135,170,0.79,79%,8.0,6.35,1080,0,Gratuit,Gratuit
Folie Meurtrière,Killer Momentum,45,170,0.26,26%,23.24,6.15,1046,0,Gratuit,Gratuit
Âme de Dragon Élémentaire,Elemental Dragon Soul,38,170,0.22,22%,25.0,5.59,950,1,25.0,5.59
Frappes Éclair,Light Swords,59,170,0.35,35%,12.0,4.16,708,0,Gratuit,Gratuit
