,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total
Totem du Gardien,Guardian Totem,216,216,1.0,100%,17.2,17.2,3715,3,5.73,5.73
Aveuglement,Incapacitor,213,216,0.99,99%,17.08,16.85,3639,3,5.69,5.62
Le Traqueur,The Stalker,197,216,0.91,91%,18.0,16.42,3546,3,6.0,5.47
Esprit de l'Écuyer,Spirit of the Squire,206,216,0.95,95%,13.25,12.64,2730,3,4.42,4.21
Vision Céleste,Heavenly Vision,100,216,0.46,46%,22.0,10.19,2200,2,11.0,5.09
Armure d'Obsidienne,Obsidian Battle Plate,102,216,0.47,47%,20.0,9.44,2040,2,10.0,4.72
Le Visionnaire,The Visionary,112,216,0.52,52%,18.0,9.33,2016,2,9.0,4.67
Œil de Lynx,Hawk's Eye,204,216,0.94,94%,8.0,7.56,1632,0,Gratuit,Gratuit
Bâton de Conquête,Conquering Staff,52,216,0.24,24%,24.0,5.78,1248,2,12.0,2.89
Coup de Mort,Death Helper,119,216,0.55,55%,10.0,5.51,1190,1,10.0,5.51
Le Marionnettiste,The Puppeteer,53,216,0.25,25%,20.0,4.91,1060,2,10.0,2.46
Amulette Omnisciente,Omnipresent Amulet,87,216,0.4,40%,11.0,4.43,957,0,Gratuit,Gratuit
Sabre Versatile,Versatil Saber,73,216,0.34,34%,11.0,3.72,803,1,11.0,3.72
Instinct Sanguinaire,Bloody Instinct,53,216,0.25,25%,15.0,3.68,795,2,7.5,1.84
Esprit omniprésent,Omnipresent Spirit,41,216,0.19,19%,18.0,3.42,738,2,9.0,1.71
Assistance Divine,Sacred Help,26,216,0.12,12%,20.0,2.41,520,2,10.0,1.21
Lame Affutée,Sharp Blade,105,216,0.49,49%,4.63,2.25,486,3,1.54,0.75
Armure d'Immortel,Immortal Breastplate,33,216,0.15,15%,14.0,2.14,462,1,14.0,2.14
Bâton du Conquérant,Staff of Conquered Worlds,34,216,0.16,16%,11.0,1.73,374,0,Gratuit,Gratuit
Force Divine,Divine Impetu,33,216,0.15,15%,11.0,1.68,363,0,Gratuit,Gratuit
Faux,Scythe,186,216,0.86,86%,1.85,1.59,344,3,0.62,0.53
Esquive Salvatrice,Evasive Protection,22,216,0.1,10%,15.0,1.53,330,0,Gratuit,Gratuit
Marteleur précis,Precise Hammer,13,216,0.06,6%,18.0,1.08,234,1,18.0,1.08
Soif de Sang,Thirsty Dagger,12,216,0.06,6%,15.0,0.83,180,0,Gratuit,Gratuit
Masse de Siège,Siege Mace,10,216,0.05,5%,16.0,0.74,160,0,Gratuit,Gratuit
Être de Lumière,Being of Light,5,216,0.02,2%,18.0,0.42,90,1,18.0,0.42
Épée Obscure,Swords of Darkness,5,216,0.02,2%,15.0,0.35,75,1,15.0,0.35
Désintégrateur Magnétique,Magnetic Disintegrator,5,216,0.02,2%,11.0,0.25,55,0,Gratuit,Gratuit
Économe Sagesse du Trésorier,Treasurer's Wisdom,3,216,0.01,1%,17.0,0.24,51,2,8.5,0.12
Épées Jumelles,Twin Swords,5,216,0.02,2%,10.0,0.23,50,1,10.0,0.23
Danse Macabre,Dance of Death,6,216,0.03,3%,8.0,0.22,48,1,8.0,0.22
Chasseur d'Âmes,Soul Hunter,2,216,0.01,1%,15.0,0.14,30,1,15.0,0.14
Elan de Fureur,Rampage Momentum,2,216,0.01,1%,15.0,0.14,30,2,7.5,0.07
Le Croque-mort,The Undertaker,2,216,0.01,1%,14.0,0.13,28,1,14.0,0.13
Hache Frénétique,Berseker Ax,2,216,0.01,1%,14.0,0.13,28,2,7.0,0.07
Ascension Divine,Divine Ascent,1,216,0.0,0%,25.0,0.12,25,3,8.33,0.04
Faux Assoiffées,Thirsty Scythes,1,216,0.0,0%,25.0,0.12,25,3,8.33,0.04
Destruction Royale,Royal Destroyer,2,216,0.01,1%,11.0,0.1,22,0,Gratuit,Gratuit
Épé Sainte,Holy Sword,1,216,0.0,0%,10.0,0.05,10,0,Gratuit,Gratuit
Lance Doublée,Dual Spear,1,216,0.0,0%,8.0,0.04,8,0,Gratuit,Gratuit
