,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total
Totem du Gardien,Guardian Totem,14,14,1.0,100%,16.14,16.14,226,3,5.38,5.38
Aveuglement,Incapacitor,14,14,1.0,100%,15.86,15.86,222,3,5.29,5.29
Le Traqueur,The Stalker,12,14,0.86,86%,18.0,15.43,216,3,6.0,5.14
Esprit de l'Écuyer,Spirit of the Squire,13,14,0.93,93%,14.77,13.71,192,3,4.92,4.57
Vision Céleste,Heavenly Vision,6,14,0.43,43%,22.0,9.43,132,2,11.0,4.71
Armure d'Obsidienne,Obsidian Battle Plate,6,14,0.43,43%,20.0,8.57,120,2,10.0,4.29
Œil de Lynx,Hawk's Eye,14,14,1.0,100%,8.0,8.0,112,0,Gratuit,Gratuit
Coup de Mort,Death Helper,10,14,0.71,71%,10.0,7.14,100,1,10.0,7.14
Le Marionnettiste,The Puppeteer,4,14,0.29,29%,20.0,5.71,80,2,10.0,2.85
Amulette Omnisciente,Omnipresent Amulet,7,14,0.5,50%,11.0,5.5,77,0,Gratuit,Gratuit
Bâton de Conquête,Conquering Staff,3,14,0.21,21%,24.0,5.14,72,2,12.0,2.57
Armure d'Immortel,Immortal Breastplate,5,14,0.36,36%,14.0,5.0,70,1,14.0,5.0
Assistance Divine,Sacred Help,3,14,0.21,21%,20.0,4.29,60,2,10.0,2.15
Sabre Versatile,Versatil Saber,5,14,0.36,36%,11.0,3.93,55,1,11.0,3.93
Le Visionnaire,The Visionary,3,14,0.21,21%,18.0,3.86,54,2,9.0,1.93
Force Divine,Divine Impetu,4,14,0.29,29%,11.0,3.14,44,0,Gratuit,Gratuit
Esprit omniprésent,Omnipresent Spirit,2,14,0.14,14%,18.0,2.57,36,2,9.0,1.28
Bâton du Conquérant,Staff of Conquered Worlds,3,14,0.21,21%,11.0,2.36,33,0,Gratuit,Gratuit
Esquive Salvatrice,Evasive Protection,2,14,0.14,14%,15.0,2.14,30,0,Gratuit,Gratuit
Lame Affutée,Sharp Blade,5,14,0.36,36%,4.2,1.5,21,3,1.4,0.5
Marteleur précis,Precise Hammer,1,14,0.07,7%,18.0,1.29,18,1,18.0,1.29
Instinct Sanguinaire,Bloody Instinct,1,14,0.07,7%,15.0,1.07,15,2,7.5,0.54
Faux,Scythe,9,14,0.64,64%,1.44,0.93,13,3,0.48,0.31
