,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total
Esprit de l'Écuyer,Spirit of the Squire,26,26,1.0,100%,16.5,16.5,429,3,5.5,5.5
Le Traqueur,The Stalker,23,26,0.88,88%,18.0,15.92,414,3,6.0,5.31
Totem du Gardien,Guardian Totem,26,26,1.0,100%,14.54,14.54,378,3,4.85,4.85
Aveuglement,Incapacitor,25,26,0.96,96%,14.28,13.73,357,3,4.76,4.58
Armure d'Obsidienne,Obsidian Battle Plate,14,26,0.54,54%,20.0,10.77,280,2,10.0,5.38
Coup de Mort,Death Helper,23,26,0.88,88%,10.0,8.85,230,1,10.0,8.85
Œil de Lynx,Hawk's Eye,24,26,0.92,92%,8.0,7.38,192,0,Gratuit,Gratuit
Vision Céleste,Heavenly Vision,8,26,0.31,31%,22.0,6.77,176,2,11.0,3.38
Amulette Omnisciente,Omnipresent Amulet,15,26,0.58,58%,11.0,6.35,165,0,Gratuit,Gratuit
Sabre Versatile,Versatil Saber,11,26,0.42,42%,11.0,4.65,121,1,11.0,4.65
Bâton de Conquête,Conquering Staff,5,26,0.19,19%,24.0,4.62,120,2,12.0,2.31
Instinct Sanguinaire,Bloody Instinct,8,26,0.31,31%,15.0,4.62,120,2,7.5,2.31
Esprit omniprésent,Omnipresent Spirit,6,26,0.23,23%,18.0,4.15,108,2,9.0,2.08
Le Visionnaire,The Visionary,5,26,0.19,19%,18.0,3.46,90,2,9.0,1.73
Assistance Divine,Sacred Help,3,26,0.12,12%,20.0,2.31,60,2,10.0,1.16
Le Marionnettiste,The Puppeteer,3,26,0.12,12%,20.0,2.31,60,2,10.0,1.16
Armure d'Immortel,Immortal Breastplate,4,26,0.15,15%,14.0,2.15,56,1,14.0,2.15
Force Divine,Divine Impetu,5,26,0.19,19%,11.0,2.12,55,0,Gratuit,Gratuit
Lame Affutée,Sharp Blade,14,26,0.54,54%,3.86,2.08,54,3,1.29,0.69
Esquive Salvatrice,Evasive Protection,3,26,0.12,12%,15.0,1.73,45,0,Gratuit,Gratuit
Faux,Scythe,24,26,0.92,92%,1.33,1.23,32,3,0.44,0.41
Être de Lumière,Being of Light,1,26,0.04,4%,18.0,0.69,18,1,18.0,0.69
Soif de Sang,Thirsty Dagger,1,26,0.04,4%,15.0,0.58,15,0,Gratuit,Gratuit
Bâton du Conquérant,Staff of Conquered Worlds,1,26,0.04,4%,11.0,0.42,11,0,Gratuit,Gratuit
