,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total
Totem du Gardien,Guardian Totem,21,21,1.0,100%,15.33,15.33,322,3,5.11,5.11
Le Traqueur,The Stalker,17,21,0.81,81%,18.0,14.57,306,3,6.0,4.86
Aveuglement,Incapacitor,21,21,1.0,100%,14.29,14.29,300,3,4.76,4.76
Esprit de l'Écuyer,Spirit of the Squire,21,21,1.0,100%,10.29,10.29,216,3,3.43,3.43
Armure d'Obsidienne,Obsidian Battle Plate,10,21,0.48,48%,20.0,9.52,200,2,10.0,4.76
Vision Céleste,Heavenly Vision,8,21,0.38,38%,22.0,8.38,176,2,11.0,4.19
Le Visionnaire,The Visionary,9,21,0.43,43%,18.0,7.71,162,2,9.0,3.85
Œil de Lynx,Hawk's Eye,19,21,0.9,90%,8.0,7.24,152,0,Gratuit,Gratuit
Coup de Mort,Death Helper,9,21,0.43,43%,10.0,4.29,90,1,10.0,4.29
Le Marionnettiste,The Puppeteer,4,21,0.19,19%,20.0,3.81,80,2,10.0,1.91
Sabre Versatile,Versatil Saber,6,21,0.29,29%,11.0,3.14,66,1,11.0,3.14
Lame Affutée,Sharp Blade,11,21,0.52,52%,5.18,2.71,57,3,1.73,0.9
Bâton de Conquête,Conquering Staff,2,21,0.1,10%,24.0,2.29,48,2,12.0,1.15
Amulette Omnisciente,Omnipresent Amulet,4,21,0.19,19%,11.0,2.1,44,0,Gratuit,Gratuit
Faux,Scythe,19,21,0.9,90%,2.26,2.05,43,3,0.75,0.68
Armure d'Immortel,Immortal Breastplate,3,21,0.14,14%,14.0,2.0,42,1,14.0,2.0
Esprit omniprésent,Omnipresent Spirit,2,21,0.1,10%,18.0,1.71,36,2,9.0,0.85
Marteleur précis,Precise Hammer,2,21,0.1,10%,18.0,1.71,36,1,18.0,1.71
Force Divine,Divine Impetu,3,21,0.14,14%,11.0,1.57,33,0,Gratuit,Gratuit
Esquive Salvatrice,Evasive Protection,2,21,0.1,10%,15.0,1.43,30,0,Gratuit,Gratuit
Instinct Sanguinaire,Bloody Instinct,2,21,0.1,10%,15.0,1.43,30,2,7.5,0.71
Bâton du Conquérant,Staff of Conquered Worlds,2,21,0.1,10%,11.0,1.05,22,0,Gratuit,Gratuit
Assistance Divine,Sacred Help,1,21,0.05,5%,20.0,0.95,20,2,10.0,0.47
Économe Sagesse du Trésorier,Treasurer's Wisdom,1,21,0.05,5%,17.0,0.81,17,2,8.5,0.41
Masse de Siège,Siege Mace,1,21,0.05,5%,16.0,0.76,16,0,Gratuit,Gratuit
Épée Obscure,Swords of Darkness,1,21,0.05,5%,15.0,0.71,15,1,15.0,0.71
Soif de Sang,Thirsty Dagger,1,21,0.05,5%,15.0,0.71,15,0,Gratuit,Gratuit
Le Croque-mort,The Undertaker,1,21,0.05,5%,14.0,0.67,14,1,14.0,0.67
Hache Frénétique,Berseker Ax,1,21,0.05,5%,14.0,0.67,14,2,7.0,0.34
Épées Jumelles,Twin Swords,1,21,0.05,5%,10.0,0.48,10,1,10.0,0.48
Danse Macabre,Dance of Death,1,21,0.05,5%,8.0,0.38,8,1,8.0,0.38
