,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total
Aveuglement,Incapacitor,25,25,1.0,100%,16.92,16.92,423,3,5.64,5.64
Faux,Scythe,25,25,1.0,100%,15.48,15.48,387,3,5.16,5.16
Lame Affutée,Sharp Blade,21,25,0.84,84%,16.29,13.68,342,3,5.43,4.56
Armure d'Obsidienne,Obsidian Battle Plate,14,25,0.56,56%,20.0,11.2,280,2,10.0,5.6
Hache Frénétique,Berseker Ax,19,25,0.76,76%,14.0,10.64,266,2,7.0,5.32
Économe Sagesse du Trésorier,Treasurer's Wisdom,15,25,0.6,60%,17.0,10.2,255,2,8.5,5.1
Lame Insatiable,Fast Furious Blade,13,25,0.52,52%,16.0,8.32,208,2,8.0,4.16
Faux Assoiffées,Thirsty Scythes,8,25,0.32,32%,25.0,8.0,200,3,8.33,2.67
Épées Jumelles,Twin Swords,12,25,0.48,48%,16.67,8.0,200,1,16.67,8.0
Parchemin Secret,Secret Scroll,11,25,0.44,44%,18.0,7.92,198,2,9.0,3.96
Épée Obscure,Swords of Darkness,12,25,0.48,48%,15.0,7.2,180,1,15.0,7.2
Elan de Fureur,Rampage Momentum,12,25,0.48,48%,15.0,7.2,180,2,7.5,3.6
Esprit Guerrier,Spirit of the Warrior,11,25,0.44,44%,16.0,7.04,176,1,16.0,7.04
Frappe Chirurgicale,Accurate Sword,11,25,0.44,44%,16.0,7.04,176,1,16.0,7.04
Enchaînement Éclair,Unstoppable Lightning,9,25,0.36,36%,18.0,6.48,162,1,18.0,6.48
Esprit de l'Écuyer,Spirit of the Squire,18,25,0.72,72%,9.0,6.48,162,3,3.0,2.16
Aura Légendaire,Legend Aura,4,25,0.16,16%,40.0,6.4,160,3,13.33,2.13
Glaive Vindicatif,Large Sword of Hate,8,25,0.32,32%,20.0,6.4,160,1,20.0,6.4
Triple Météore,Trimeteor,5,25,0.2,20%,30.0,6.0,150,0,Gratuit,Gratuit
Bâton de Conquête,Conquering Staff,6,25,0.24,24%,24.0,5.76,144,2,12.0,2.88
Tombeau Rocheux,Rock Tomb,14,25,0.56,56%,10.0,5.6,140,1,10.0,5.6
Marteleur précis,Precise Hammer,7,25,0.28,28%,18.0,5.04,126,1,18.0,5.04
Explosion Arcanique,Arcane Explosive,10,25,0.4,40%,12.0,4.8,120,1,12.0,4.8
Chasseresse d'Âmes,Huntress of Souls,6,25,0.24,24%,19.0,4.56,114,1,19.0,4.56
Armure d'Immortel,Immortal Breastplate,8,25,0.32,32%,14.0,4.48,112,1,14.0,4.48
Totem du Gardien,Guardian Totem,25,25,1.0,100%,4.4,4.4,110,3,1.47,1.47
Sabre Versatile,Versatil Saber,10,25,0.4,40%,11.0,4.4,110,1,11.0,4.4
Décharge Élémentaire,Elemental Discharge,6,25,0.24,24%,18.0,4.32,108,1,18.0,4.32
Danse Macabre,Dance of Death,13,25,0.52,52%,8.0,4.16,104,1,8.0,4.16
Griffes Démoniaques,Demon Claws,6,25,0.24,24%,17.0,4.08,102,1,17.0,4.08
Lance Triplée,Triple Spear,5,25,0.2,20%,20.0,4.0,100,0,Gratuit,Gratuit
Ascension Divine,Divine Ascent,4,25,0.16,16%,25.0,4.0,100,3,8.33,1.33
Le Croque-mort,The Undertaker,7,25,0.28,28%,14.0,3.92,98,1,14.0,3.92
Esprit omniprésent,Omnipresent Spirit,5,25,0.2,20%,18.0,3.6,90,2,9.0,1.8
Masse Colossale,Colossal Mace,8,25,0.32,32%,11.0,3.52,88,0,Gratuit,Gratuit
Couronne du Roi Nain,Crown of the Dwarf King,6,25,0.24,24%,13.0,3.12,78,0,Gratuit,Gratuit
Esquive Salvatrice,Evasive Protection,5,25,0.2,20%,15.0,3.0,75,0,Gratuit,Gratuit
Lance Doublée,Dual Spear,9,25,0.36,36%,8.0,2.88,72,0,Gratuit,Gratuit
Griffes Sauvages,Wild Claw,22,25,0.88,88%,3.27,2.88,72,3,1.09,0.96
Désintégrateur Magnétique,Magnetic Disintegrator,6,25,0.24,24%,11.0,2.64,66,0,Gratuit,Gratuit
Destruction Royale,Royal Destroyer,6,25,0.24,24%,11.0,2.64,66,0,Gratuit,Gratuit
Assistance Divine,Sacred Help,3,25,0.12,12%,20.0,2.4,60,2,10.0,1.2
Épé Sainte,Holy Sword,6,25,0.24,24%,10.0,2.4,60,0,Gratuit,Gratuit
Soif de Sang,Thirsty Dagger,4,25,0.16,16%,15.0,2.4,60,0,Gratuit,Gratuit
Coup de Mort,Death Helper,6,25,0.24,24%,10.0,2.4,60,1,10.0,2.4
Bâton Élémentaire,Earthly Staff,4,25,0.16,16%,15.0,2.4,60,0,Gratuit,Gratuit
Force Divine,Divine Impetu,5,25,0.2,20%,11.0,2.2,55,0,Gratuit,Gratuit
Le Traqueur,The Stalker,2,25,0.08,8%,18.0,1.44,36,3,6.0,0.48
Bâton du Conquérant,Staff of Conquered Worlds,3,25,0.12,12%,11.0,1.32,33,0,Gratuit,Gratuit
Œil de Lynx,Hawk's Eye,4,25,0.16,16%,8.0,1.28,32,0,Gratuit,Gratuit
Masse de Siège,Siege Mace,2,25,0.08,8%,16.0,1.28,32,0,Gratuit,Gratuit
Instinct Sanguinaire,Bloody Instinct,2,25,0.08,8%,15.0,1.2,30,2,7.5,0.6
Pillard Féroce,Savage Looter,1,25,0.04,4%,20.0,0.8,20,1,20.0,0.8
Le Marionnettiste,The Puppeteer,1,25,0.04,4%,20.0,0.8,20,2,10.0,0.4
Chasseur d'Âmes,Soul Hunter,1,25,0.04,4%,15.0,0.6,15,1,15.0,0.6
Amulette Omnisciente,Omnipresent Amulet,1,25,0.04,4%,11.0,0.44,11,0,Gratuit,Gratuit
