,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total
Faux,Scythe,17,17,1.0,100%,13.65,13.65,232,3,4.55,4.55
Aveuglement,Incapacitor,17,17,1.0,100%,13.41,13.41,228,3,4.47,4.47
Lame Affutée,Sharp Blade,13,17,0.76,76%,10.85,8.29,141,3,3.62,2.76
Lame Insatiable,Fast Furious Blade,8,17,0.47,47%,16.0,7.53,128,2,8.0,3.77
Hache Frénétique,Berseker Ax,9,17,0.53,53%,14.0,7.41,126,2,7.0,3.71
Marteleur précis,Precise Hammer,7,17,0.41,41%,18.0,7.41,126,1,18.0,7.41
Esprit Guerrier,Spirit of the Warrior,7,17,0.41,41%,16.0,6.59,112,1,16.0,6.59
Économe Sagesse du Trésorier,Treasurer's Wisdom,6,17,0.35,35%,17.0,6.0,102,2,8.5,3.0
Armure d'Obsidienne,Obsidian Battle Plate,5,17,0.29,29%,20.0,5.88,100,2,10.0,2.94
Explosion Arcanique,Arcane Explosive,7,17,0.41,41%,12.0,4.94,84,1,12.0,4.94
Aura Légendaire,Legend Aura,2,17,0.12,12%,40.0,4.71,80,3,13.33,1.57
Esprit de l'Écuyer,Spirit of the Squire,8,17,0.47,47%,9.75,4.59,78,3,3.25,1.53
Totem du Gardien,Guardian Totem,17,17,1.0,100%,4.29,4.29,73,3,1.43,1.43
Parchemin Secret,Secret Scroll,4,17,0.24,24%,18.0,4.24,72,2,9.0,2.12
Épées Jumelles,Twin Swords,4,17,0.24,24%,17.5,4.12,70,1,17.5,4.12
Frappe Chirurgicale,Accurate Sword,4,17,0.24,24%,16.0,3.76,64,1,16.0,3.76
Tombeau Rocheux,Rock Tomb,6,17,0.35,35%,10.0,3.53,60,1,10.0,3.53
Glaive Vindicatif,Large Sword of Hate,3,17,0.18,18%,20.0,3.53,60,1,20.0,3.53
Épée Obscure,Swords of Darkness,4,17,0.24,24%,15.0,3.53,60,1,15.0,3.53
Faux Assoiffées,Thirsty Scythes,2,17,0.12,12%,25.0,2.94,50,3,8.33,0.98
Ascension Divine,Divine Ascent,2,17,0.12,12%,25.0,2.94,50,3,8.33,0.98
Danse Macabre,Dance of Death,6,17,0.35,35%,8.0,2.82,48,1,8.0,2.82
Elan de Fureur,Rampage Momentum,3,17,0.18,18%,15.0,2.65,45,2,7.5,1.32
Couronne du Roi Nain,Crown of the Dwarf King,3,17,0.18,18%,13.0,2.29,39,0,Gratuit,Gratuit
Chasseresse d'Âmes,Huntress of Souls,2,17,0.12,12%,19.0,2.24,38,1,19.0,2.24
Enchaînement Éclair,Unstoppable Lightning,2,17,0.12,12%,18.0,2.12,36,1,18.0,2.12
Décharge Élémentaire,Elemental Discharge,2,17,0.12,12%,18.0,2.12,36,1,18.0,2.12
Esprit omniprésent,Omnipresent Spirit,2,17,0.12,12%,18.0,2.12,36,2,9.0,1.06
Griffes Démoniaques,Demon Claws,2,17,0.12,12%,17.0,2.0,34,1,17.0,2.0
Masse Colossale,Colossal Mace,3,17,0.18,18%,11.0,1.94,33,0,Gratuit,Gratuit
Griffes Sauvages,Wild Claw,14,17,0.82,82%,2.29,1.88,32,3,0.76,0.63
Masse de Siège,Siege Mace,2,17,0.12,12%,16.0,1.88,32,0,Gratuit,Gratuit
Coup de Mort,Death Helper,3,17,0.18,18%,10.0,1.76,30,1,10.0,1.76
Triple Météore,Trimeteor,1,17,0.06,6%,30.0,1.76,30,0,Gratuit,Gratuit
Bâton Élémentaire,Earthly Staff,2,17,0.12,12%,15.0,1.76,30,0,Gratuit,Gratuit
Instinct Sanguinaire,Bloody Instinct,2,17,0.12,12%,15.0,1.76,30,2,7.5,0.88
Armure d'Immortel,Immortal Breastplate,2,17,0.12,12%,14.0,1.65,28,1,14.0,1.65
Le Croque-mort,The Undertaker,2,17,0.12,12%,14.0,1.65,28,1,14.0,1.65
Bâton de Conquête,Conquering Staff,1,17,0.06,6%,24.0,1.41,24,2,12.0,0.7
Lance Doublée,Dual Spear,3,17,0.18,18%,8.0,1.41,24,0,Gratuit,Gratuit
Vision Céleste,Heavenly Vision,1,17,0.06,6%,22.0,1.29,22,2,11.0,0.65
Désintégrateur Magnétique,Magnetic Disintegrator,2,17,0.12,12%,11.0,1.29,22,0,Gratuit,Gratuit
Destruction Royale,Royal Destroyer,2,17,0.12,12%,11.0,1.29,22,0,Gratuit,Gratuit
Sabre Versatile,Versatil Saber,2,17,0.12,12%,11.0,1.29,22,1,11.0,1.29
Épé Sainte,Holy Sword,2,17,0.12,12%,10.0,1.18,20,0,Gratuit,Gratuit
Assistance Divine,Sacred Help,1,17,0.06,6%,20.0,1.18,20,2,10.0,0.59
Lance Triplée,Triple Spear,1,17,0.06,6%,20.0,1.18,20,0,Gratuit,Gratuit
Le Traqueur,The Stalker,1,17,0.06,6%,18.0,1.06,18,3,6.0,0.35
Mental d'Acier,Steel Aura,1,17,0.06,6%,18.0,1.06,18,2,9.0,0.53
Œil de Lynx,Hawk's Eye,2,17,0.12,12%,8.0,0.94,16,0,Gratuit,Gratuit
Esquive Salvatrice,Evasive Protection,1,17,0.06,6%,15.0,0.88,15,0,Gratuit,Gratuit
Soif de Sang,Thirsty Dagger,1,17,0.06,6%,15.0,0.88,15,0,Gratuit,Gratuit
Force Divine,Divine Impetu,1,17,0.06,6%,11.0,0.65,11,0,Gratuit,Gratuit
Bâton du Conquérant,Staff of Conquered Worlds,1,17,0.06,6%,11.0,0.65,11,0,Gratuit,Gratuit
