,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total
Faux,Scythe,23,23,1.0,100%,17.17,17.17,395,3,5.72,5.72
Aveuglement,Incapacitor,22,23,0.96,96%,15.0,14.35,330,3,5.0,4.78
Lame Affutée,Sharp Blade,23,23,1.0,100%,13.57,13.57,312,3,4.52,4.52
Économe Sagesse du Trésorier,Treasurer's Wisdom,18,23,0.78,78%,17.0,13.3,306,2,8.5,6.65
Faux Assoiffées,Thirsty Scythes,11,23,0.48,48%,25.0,11.96,275,3,8.33,3.99
Hache Frénétique,Berseker Ax,18,23,0.78,78%,14.0,10.96,252,2,7.0,5.48
Armure d'Obsidienne,Obsidian Battle Plate,11,23,0.48,48%,20.0,9.57,220,2,10.0,4.79
Glaive Vindicatif,Large Sword of Hate,9,23,0.39,39%,20.0,7.83,180,1,20.0,7.83
Épées Jumelles,Twin Swords,11,23,0.48,48%,16.36,7.83,180,1,16.36,7.83
Frappe Chirurgicale,Accurate Sword,11,23,0.48,48%,16.0,7.65,176,1,16.0,7.65
Épée Obscure,Swords of Darkness,11,23,0.48,48%,15.0,7.17,165,1,15.0,7.17
Esprit Guerrier,Spirit of the Warrior,10,23,0.43,43%,16.0,6.96,160,1,16.0,6.96
Lame Insatiable,Fast Furious Blade,10,23,0.43,43%,16.0,6.96,160,2,8.0,3.48
Tombeau Rocheux,Rock Tomb,16,23,0.7,70%,10.0,6.96,160,1,10.0,6.96
Elan de Fureur,Rampage Momentum,10,23,0.43,43%,15.0,6.52,150,2,7.5,3.26
Explosion Arcanique,Arcane Explosive,12,23,0.52,52%,12.0,6.26,144,1,12.0,6.26
Enchaînement Éclair,Unstoppable Lightning,8,23,0.35,35%,18.0,6.26,144,1,18.0,6.26
Marteleur précis,Precise Hammer,8,23,0.35,35%,18.0,6.26,144,1,18.0,6.26
Parchemin Secret,Secret Scroll,8,23,0.35,35%,18.0,6.26,144,2,9.0,3.13
Esprit de l'Écuyer,Spirit of the Squire,19,23,0.83,83%,7.26,6.0,138,3,2.42,2.0
Décharge Élémentaire,Elemental Discharge,7,23,0.3,30%,18.0,5.48,126,1,18.0,5.48
Bâton de Conquête,Conquering Staff,5,23,0.22,22%,24.0,5.22,120,2,12.0,2.61
Le Croque-mort,The Undertaker,8,23,0.35,35%,14.0,4.87,112,1,14.0,4.87
Danse Macabre,Dance of Death,13,23,0.57,57%,8.0,4.52,104,1,8.0,4.52
Totem du Gardien,Guardian Totem,23,23,1.0,100%,4.43,4.43,102,3,1.48,1.48
Ascension Divine,Divine Ascent,4,23,0.17,17%,25.0,4.35,100,3,8.33,1.45
Sabre Versatile,Versatil Saber,9,23,0.39,39%,11.0,4.3,99,1,11.0,4.3
Triple Météore,Trimeteor,3,23,0.13,13%,30.0,3.91,90,0,Gratuit,Gratuit
Griffes Sauvages,Wild Claw,20,23,0.87,87%,4.3,3.74,86,3,1.43,1.25
Armure d'Immortel,Immortal Breastplate,6,23,0.26,26%,14.0,3.65,84,1,14.0,3.65
Aura Légendaire,Legend Aura,2,23,0.09,9%,40.0,3.48,80,3,13.33,1.16
Lance Doublée,Dual Spear,10,23,0.43,43%,8.0,3.48,80,0,Gratuit,Gratuit
Masse de Siège,Siege Mace,5,23,0.22,22%,16.0,3.48,80,0,Gratuit,Gratuit
Épé Sainte,Holy Sword,7,23,0.3,30%,10.0,3.04,70,0,Gratuit,Gratuit
Griffes Démoniaques,Demon Claws,4,23,0.17,17%,17.0,2.96,68,1,17.0,2.96
Couronne du Roi Nain,Crown of the Dwarf King,5,23,0.22,22%,13.0,2.83,65,0,Gratuit,Gratuit
Esquive Salvatrice,Evasive Protection,4,23,0.17,17%,15.0,2.61,60,0,Gratuit,Gratuit
Bâton Élémentaire,Earthly Staff,4,23,0.17,17%,15.0,2.61,60,0,Gratuit,Gratuit
Lance Triplée,Triple Spear,3,23,0.13,13%,20.0,2.61,60,0,Gratuit,Gratuit
Chasseresse d'Âmes,Huntress of Souls,3,23,0.13,13%,19.0,2.48,57,1,19.0,2.48
Œil de Lynx,Hawk's Eye,7,23,0.3,30%,8.0,2.43,56,0,Gratuit,Gratuit
Destruction Royale,Royal Destroyer,5,23,0.22,22%,11.0,2.39,55,0,Gratuit,Gratuit
Désintégrateur Magnétique,Magnetic Disintegrator,5,23,0.22,22%,11.0,2.39,55,0,Gratuit,Gratuit
Masse Colossale,Colossal Mace,5,23,0.22,22%,11.0,2.39,55,0,Gratuit,Gratuit
Soif de Sang,Thirsty Dagger,3,23,0.13,13%,15.0,1.96,45,0,Gratuit,Gratuit
Instinct Sanguinaire,Bloody Instinct,3,23,0.13,13%,15.0,1.96,45,2,7.5,0.98
Assistance Divine,Sacred Help,2,23,0.09,9%,20.0,1.74,40,2,10.0,0.87
Pillard Féroce,Savage Looter,2,23,0.09,9%,20.0,1.74,40,1,20.0,1.74
Force Divine,Divine Impetu,3,23,0.13,13%,11.0,1.43,33,0,Gratuit,Gratuit
Bâton du Conquérant,Staff of Conquered Worlds,3,23,0.13,13%,11.0,1.43,33,0,Gratuit,Gratuit
Coup de Mort,Death Helper,2,23,0.09,9%,10.0,0.87,20,1,10.0,0.87
Esprit omniprésent,Omnipresent Spirit,1,23,0.04,4%,18.0,0.78,18,2,9.0,0.39
Chasseur d'Âmes,Soul Hunter,1,23,0.04,4%,15.0,0.65,15,1,15.0,0.65
