,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total
Marteau Dévastateur,Destroyer Hammer,18,18,1.0,100%,18.5,18.5,333,3,6.17,6.17
Perce-Écailles,Scale Tearer,17,18,0.94,94%,16.94,16.0,288,3,5.65,5.33
Écailles Magiques,Magic Scales,14,18,0.78,78%,20.0,15.56,280,2,10.0,7.78
Masque du Baron,Baron' s Mask,10,18,0.56,56%,20.0,11.11,200,2,10.0,5.55
Chasse au Gros,Big Worm Hunter,11,18,0.61,61%,17.73,10.83,195,3,5.91,3.61
Sceau Profanateur,Seal of Desecration,9,18,0.5,50%,21.33,10.67,192,2,10.66,5.33
Esprit de la Faille,Spirit of the Rift,9,18,0.5,50%,20.0,10.0,180,2,10.0,5.0
Âme de Dragon Élémentaire,Elemental Dragon Soul,7,18,0.39,39%,25.0,9.72,175,1,25.0,9.72
Poigne d'Or,Golden Force,6,18,0.33,33%,23.0,7.67,138,1,23.0,7.67
Première Ligne,First Line,16,18,0.89,89%,8.0,7.11,128,0,Gratuit,Gratuit
L'Oeil du Héraut,Eye of the Void,11,18,0.61,61%,10.91,6.67,120,0,Gratuit,Gratuit
Folie Meurtrière,Killer Momentum,4,18,0.22,22%,30.0,6.67,120,0,Gratuit,Gratuit
Bouclier Efficient,Engineer Shield,2,18,0.11,11%,60.0,6.67,120,0,Gratuit,Gratuit
Protection Royale,Royal Protector,7,18,0.39,39%,17.0,6.61,119,1,17.0,6.61
Marteau Conquérant,Conquest Hammer,6,18,0.33,33%,18.0,6.0,108,1,18.0,6.0
Gardien Sous-terrain,Underworld Guardian,7,18,0.39,39%,15.0,5.83,105,1,15.0,5.83
Sceau Draconique Ancestral,Ancestral Dragon Seal,3,18,0.17,17%,35.0,5.83,105,0,Gratuit,Gratuit
Brise-remparts,Wall Breaker,3,18,0.17,17%,30.0,5.0,90,0,Gratuit,Gratuit
Emblème Ancien,Ancient Emblem,2,18,0.11,11%,40.0,4.44,80,3,13.33,1.48
Frappes Éclair,Light Swords,4,18,0.22,22%,12.0,2.67,48,0,Gratuit,Gratuit
