,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total
Marteau Dévastateur,Destroyer Hammer,17,18,0.94,94%,13.59,12.83,231,3,4.53,4.28
Perce-Écailles,Scale Tearer,14,18,0.78,78%,14.57,11.33,204,3,4.86,3.78
Esprit de la Faille,Spirit of the Rift,7,18,0.39,39%,20.0,7.78,140,2,10.0,3.89
L'Oeil du Héraut,Eye of the Void,11,18,0.61,61%,11.64,7.11,128,0,Gratuit,Gratuit
Chasse au Gros,Big Worm Hunter,6,18,0.33,33%,17.33,5.78,104,3,5.78,1.93
Première Ligne,First Line,13,18,0.72,72%,8.0,5.78,104,0,Gratuit,Gratuit
Écailles Magiques,Magic Scales,5,18,0.28,28%,20.0,5.56,100,2,10.0,2.78
Masque du Baron,Baron' s Mask,5,18,0.28,28%,20.0,5.56,100,2,10.0,2.78
Folie Meurtrière,Killer Momentum,3,18,0.17,17%,30.0,5.0,90,0,Gratuit,Gratuit
Gardien Sous-terrain,Underworld Guardian,5,18,0.28,28%,15.0,4.17,75,1,15.0,4.17
Sceau Profanateur,Seal of Desecration,4,18,0.22,22%,16.0,3.56,64,2,8.0,1.78
Âme de Dragon Élémentaire,Elemental Dragon Soul,2,18,0.11,11%,25.0,2.78,50,1,25.0,2.78
Poigne d'Or,Golden Force,2,18,0.11,11%,23.0,2.56,46,1,23.0,2.56
Emblème Ancien,Ancient Emblem,1,18,0.06,6%,40.0,2.22,40,3,13.33,0.74
Marteau Conquérant,Conquest Hammer,2,18,0.11,11%,18.0,2.0,36,1,18.0,2.0
Protection Royale,Royal Protector,2,18,0.11,11%,17.0,1.89,34,1,17.0,1.89
Frappes Éclair,Light Swords,1,18,0.06,6%,12.0,0.67,12,0,Gratuit,Gratuit
